标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          青岛铭族激光科技有限公司
        ",销售,"
          6000-9000元
        ",销售,销售,"
          经验不限
        ","
          学历不限
        ",青岛·城阳·城阳街道,"
          民营
         
          20-99人
         
          电气机械/电力设备
        "
"
          贵州黔开林企业管理有限公司
        ",销售,"
          6000-8000元
        ",电销,电销,"
          1年以下
        ","
          大专
        ",贵阳·观山湖,"
          民营
         
          300-499人
         
          人力资源服务
        "
"
          山东亿宸机械集团有限公司
        ",外贸销售,"
          8000-16000元
        ",阿里巴巴国际站,阿里巴巴国际站,"
          经验不限
        ","
          大专
        ",济宁·任城区·李营街道,"
          其它
         
          100-299人
         
          电子商务
        "
"
          上海松河山科技服务有限公司
        ",销售,"
          8000-9000元
        ","门店销售
口腔销售
咨询师",门店销售,"
          经验不限
        ","
          学历不限
        ",嘉兴·嘉善县·罗星街道," 
          20-99人
         
          医美/健康服务
        "
"
          加多宝(中国)饮料有限公司
        ",抖音渠道销售运营主任(J12089),"
          1.2-1.6万
        ",抖音小店,抖音小店,"
          经验不限
        ","
          本科
        ",北京·大兴·马驹桥,"
          外商独资
         
          10000人以上
         
          快速消费品
        "
"
          上海久爱广告有限公司
        ",销售,"
          9000-14000元
        ","户外媒体广告
企业客户
电话销售
面销/陌拜",户外媒体广告,"
          经验不限
        ","
          大专
        ",上海·松江·九亭,"
          民营
         
          20-99人
         
          广告/营销
        "
"
          牧原股份
        ",「2026应届管培」生鲜销售储备干部（15K起+完善带教+晋升清晰）,"
          8000-16000元
        ",,,"
          经验不限
        ","
          本科
        ",黄冈·黄州区·赤壁街道,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          郑州绿业元农业科技有限公司
        ",农药驻点销售管培生-招优秀毕业生,"
          1-2万
        ","销售方向
优秀毕业生
党员
奖学金获得者
三好学生
退役军人
学生会干部
班干部",销售方向,"
          经验不限
        ","
          大专
        ",石家庄·长安·青园,"
          民营
         
          1000-9999人
         
          农/林/牧/渔
        "
"
          天津大信家居有限公司
        ",销售,"
          6000-12000元
        ","个人客户
面销/陌拜
电话销售
网络销售",个人客户,"
          1-3年
        ","
          学历不限
        ",天津·河西·尖山,"
          民营
         
          100-299人
         
          装饰装修
        "
"
          安鹏技术咨询服务(天津)有限责任公司
        ",销售内勤,"
          1-1.6万
        ",,,"
          经验不限
        ","
          本科
        ",北京·大兴·荣华街道,"
          国企
         
          20-99人
         
          汽车后市场
        "
"
          西安东晟环境科技有限公司
        ",中央空调渠道销售,"
          8000-16000元
        ","面销/陌拜
代理商销售",面销/陌拜,"
          经验不限
        ","
          大专
        ",西安·雁塔·长延堡,"
          其它
         
          100-299人
         
          家具/家居/家电
        "
"
          昆明麦岚企业管理有限公司
        ",销售,"
          5000-10000元
        ",市场分析,市场分析,"
          1-3年
        ","
          学历不限
        ",昆明·西山·前卫,"
          民营
         
          20-99人
         
          电子商务
        "
"
          世信国际会展集团股份有限公司
        ",国际销售专员,"
          8000-16000元
        ","英语
会展",英语,"
          经验不限
        ","
          本科
        ",北京·海淀·学院路,"
          民营
         
          100-299人
         
          会议/展览
        "
"
          郑州圣玛妇产医院
        ",销售,"
          9000-15000元
        ",面销,面销,"
          1-3年
        ","
          大专
        ",郑州·金水·祭城路,"
          上市公司
         
          500-999人
         
          卫生服务
        "
"
          海莱斯包装科技(苏州)有限公司
        ",销售,"
          4000-6000元·13薪
        ","面销/陌拜
会议/会展销售
网络销售",面销/陌拜,"
          经验不限
        ","
          大专
        ",无锡·惠山·长安,"
          民营
         
          20-99人
         
          橡胶和塑料制品
        "
"
          中国平安人寿保险股份有限公司湖南省直属第三支公司(人力增员部)
        ",销售,"
          8000-9000元
        ","企业客户
个人客户
医疗机构
网络销售
渠道销售
代理商销售",企业客户,"
          经验不限
        ","
          高中
        ",长沙·开福·东风路," 
          1000-9999人
         
          保险
        "
