标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          牧原股份
        ",销售专员/销售代表/销售管培生/市场营销（底薪8K起，转正综合15-40K+，免费住宿等）,"
          1.5-3万
        ","市场推广
市场策划
市场拓展
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",周口·川汇区·许湾街道,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          外企德科
        ",（电商）市场营销策划执行-早九晚六-面试定薪,"
          1-1.3万·14薪
        ","活动策划
市场策划
营销策划
展会策划
行业沙龙",活动策划,"
          经验不限
        ","
          本科
        ",深圳·南山·粤海,"
          合资
         
          10000人以上
         
          人力资源服务
        "
"
          苏州凯市聚国际贸易有限公司
        ",市场营销（包住宿/带薪培训/晋升快）,"
          8000-16000元
        ","市场推广
市场策划
市场拓展
品牌营销",市场推广,"
          经验不限
        ","
          学历不限
        ",苏州·姑苏·苏锦,"
          民营
         
          20-99人
         
          零售/批发
        "
"
          中粮可口可乐饮料(四川)有限公司
        ",潜翔计划-市场营销-市场方向,"
          6000-8000元·13薪
        ",,,"
          经验不限
        ","
          本科
        ",成都·金牛·抚琴,"
          国企
         
          1000-9999人
         
          快速消费品
        "
"
          中国电子技术标准化研究院((工业和信息化部电子工业标准化研究院)(工业和信息化部电子第四研究院))
        ",集成电路检测市场营销,"
          8000-12000元
        ","市场推广
市场策划
市场拓展
品牌营销",市场推广,"
          经验不限
        ","
          本科
        ",北京·通州·马驹桥,"
          事业单位
         
          500-999人
         
          科学技术推广
        "
"
          中粮可口可乐
        ",潜翔计划-市场营销-销售方向,"
          面议
        ","大学英语四级
大学英语六级
销售方向
市场营销方向",大学英语四级,"
          经验不限
        ","
          本科
        ",西安·未央·张家堡,"
          合资
         
          10000人以上
         
          快速消费品
        "
"
          正大食品(东营)有限公司
        ",市场营销专员,"
          8000-12000元
        ",农牧销售,农牧销售,"
          经验不限
        ","
          本科
        ",东营·垦利区·黄河口镇,"
          外商独资
         
          10000人以上
         
          农/林/牧/渔
        "
"
          中建科工集团智慧停车科技有限公司
        ",储能市场营销,"
          1.3-2.6万
        ","整合营销
储能推广",整合营销,"
          1-3年
        ","
          大专
        ",深圳·宝安·福海,"
          国企
         
          100-299人
         
          专用设备制造
        "
"
          哈尔滨重型机器有限责任公司
        ",市场营销,"
          4000-8000元
        ","市场开发
商务合作
市场拓展",市场开发,"
          经验不限
        ","
          本科
        ",哈尔滨·香坊·朝阳,"
          国企
         
          100-299人
         
          专用设备制造
        "
"
          河南光灿新能源科技有限公司
        ",市场营销,"
          5000-10000元
        ",,,"
          1-3年
        ","
          大专
        ",郑州·管城·京航,"
          民营
         
          100-299人
         
          新能源
        "
"
          河南文懿信息科技有限公司
        ",【急聘】市场营销总监｜周末双休｜待遇从优,"
          1.2-2万
        ","市场推广
市场策划
市场拓展
品牌营销
整合营销",市场推广,"
          1-3年
        ","
          本科
        ",郑州·金水·祭城路,"
          民营
         
          20-99人
         
          计算机软件
        "
"
          成都倾城唯爱网络科技有限公司
        ",市场营销,"
          5000-9000元
        ","市场拓展
运动类目
TOB销售",市场拓展,"
          经验不限
        ","
          本科
        ",成都·武侯·桂溪,"
          民营
         
          100-299人
         
          电子商务
        "
"
          威海双丰电子集团有限公司
        ",市场营销,"
          8000-10000元
        ",市场推广,市场推广,"
          经验不限
        ","
          本科
        ",青岛·即墨·鳌山卫,"
          民营
         
          500-999人
         
          仪器仪表制造
        "
"
          南京健安医院有限公司
        ",医院市场营销专员,"
          1.5-2万
        ","市场拓展
市场推广
公关营销
整合营销",市场拓展,"
          1-3年
        ","
          大专
        ",南京·江宁·东山,"
          医院
         
          100-299人
         
          医院
        "
"
          浙江佳华精化股份有限公司
        ",市场营销管培生,"
          7000-12000元
        ","高分子材料
市场营销",高分子材料,"
          经验不限
        ","
          本科
        ",绍兴·上虞区·小越街道,"
          民营
         
          100-299人
         
          橡胶和塑料制品
        "
"
          太平人寿保险有限公司广西分公司
        ",太平人寿-广西分公司-市场营销类管培生(J52792),"
          4000-8000元
        ",市场营销方向,市场营销方向,"
          经验不限
        ","
          本科
        ",百色·平果市·马头镇,"
          国企
         
          1000-9999人
         
          保险
        "
"
          吉利控股集团
        ",市场营销,"
          面议
        ","市场营销
市场推广
市场策划
本地资源",市场营销,"
          3-5年
        ","
          本科
        ",贵阳·花溪·孟关,"
          民营
         
          10000人以上
         
          汽车研发/制造
        "
"
          浙江伟星新型建材股份有限公司
        ",市场营销,"
          5000-8000元
        ","市场推广
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",重庆·渝北,"
          上市公司
         
          1000-9999人
         
          建材
        "
"
          万丰航空工业有限公司
        ",市场营销专员,"
          6000-8000元
        ",市场拓展,市场拓展,"
          经验不限
        ","
          本科
        ",青岛·莱西·店埠,"
          外商独资
         
          100-299人
         
          汽车零部件
        "
"
          金友信建筑劳务有限公司
        ",市场营销专员,"
          8000-16000元
        ","市场拓展
公关营销
整合营销
市场推广",市场拓展,"
          经验不限
        ","
          本科
        ",重庆·渝中·石油路,"
          民营
         
          100-299人
         
          建筑设备安装
        "
"
          兖州东方机电有限公司
        ",售后服务、市场营销,"
          5000-8000元
        ","机械设备
电气设备",机械设备,"
          经验不限
        ","
          本科
        ",济宁·邹城市·凫山街道,"
          国企
         
          100-299人
         
          电气机械/电力设备
        "
"
          佛山市享家境界智能家居科技有限公司
        ",市场营销专员（桂城）,"
          6000-8000元
        ","产品推广
市场营销
策划
活动策划
市场推广
制冷
暖通
空调",产品推广,"
          1-3年
        ","
          大专
        ",佛山·南海·桂城,"
          民营
         
          20-99人
         
          家具/家居/家电
        "
"
          天津润丰正通科技有限公司
        ",市场营销,"
          6000-8000元
        ",市场拓展,市场拓展,"
          经验不限
        ","
          本科
        ",天津·滨海新区·寨上,"
          民营
         
          1000-9999人
         
          货运/物流/仓储
        "
"
          金健米业
        ",市场营销,"
          7000-11000元
        ","市场推广
市场拓展
整合营销",市场推广,"
          3-5年
        ","
          大专
        ",长沙·开福·芙蓉北路,"
          国企
         
          1000-9999人
         
          快速消费品
        "
"
          湖北省鑫瑞健康管理有限公司
        ",市场营销,"
          3000-6000元
        ",市场拓展,市场拓展,"
          经验不限
        ","
          高中
        ",黄冈," 
          20人以下
         
          食品/饮料
        "
"
          交信贸易(广州)有限公司
        ",兼职外贸市场营销专员 Part-time Foreign Trade Marketing Specialist,"
          4000-8000元
        ","市场营销
B端客户
跨境电商运营
海外社交平台运营",市场营销,"
          1-3年
        ","
          大专
        ",广州·海珠·南华西,"
          外商独资
         
          20-99人
         
          贸易/进出口
        "
"
          湖南恒业腾飞房地产土地资产评估有限公司
        ",营销助理/市场营销/区域营销/商务助理,"
          1-1.2万
        ","市场拓展
整合营销
沟通能力
市场推广
学习能力",市场拓展,"
          经验不限
        ","
          本科
        ",郴州·北湖区·燕泉街道,"
          民营
         
          100-299人
         
          咨询服务
        "
"
          通号低空智能科技有限公司
        ",市场营销(J10006),"
          8000-16000元
        ","市场推广
市场策划
市场拓展
公关营销
品牌营销
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",北京·丰台·看丹,"
          国企
         
          300-499人
         
          IT服务
        "
"
          江苏飓风环保科技有限公司
        ",市场营销总监,"
          1.5-3万
        ",市场营销,市场营销,"
          1-3年
        ","
          本科
        ",盐城·阜宁县·板湖镇,"
          民营
         
          100-299人
         
          通用设备制造
        "
"
          央视国际网络有限公司
        ",市场营销-上海分公司,"
          6000-10000元
        ","市场拓展
市场推广",市场拓展,"
          经验不限
        ","
          本科
        ",上海·徐汇·龙华,"
          国企
         
          1000-9999人
         
          互联网
        "
"
          安徽鑫科新材料股份有限公司
        ",市场营销专员,"
          6000-10000元·13薪
        ",市场拓展,市场拓展,"
          1-3年
        ","
          本科
        ",绵阳·三台县·潼川镇,"
          上市公司
         
          1000-9999人
         
          金属制品业
        "
"
          江小满城市服务(深圳)有限公司
        ",市场营销,"
          2000元/次
        ","市场推广
市场拓展
品牌营销
公关营销",市场推广,"
          经验不限
        ","
          高中
        ",深圳·光明·凤凰," 
          20-99人
         
          环保
        "
"
          中节能数字科技有限公司
        ",2025/2026年毕业生、管培生（市场营销方向岗位）,"
          8000-15000元·13薪
        ","市场方向
数据业务",市场方向,"
          经验不限
        ","
          本科
        ",石家庄·桥西·东里,"
          国企
         
          1000-9999人
         
          环保
        "
"
          浙江爱旭太阳能科技有限公司
        ",市场营销,"
          1-1.5万·14薪
        ","市场推广
市场策划
品牌营销
市场宣传
报告编写",市场推广,"
          经验不限
        ","
          本科
        ",金华·义乌市·苏溪镇,"
          上市公司
         
          10000人以上
         
          新能源
        "
"
          福建省昌德胶业科技有限公司
        ",市场营销,"
          6000-10000元
        ",市场推广,市场推广,"
          经验不限
        ","
          大专
        ",贵阳·观山湖·金华园,"
          民营
         
          100-299人
         
          化学原料/化学制品
        "
"
          中国平安人寿保险股份有限公司洪州支公司
        ",市场营销,"
          6000-10000元
        ","市场推广
市场拓展",市场推广,"
          经验不限
        ","
          高中
        ",南昌·西湖,"
          股份制企业
         
          500-999人
         
          保险
        "
"
          上海信奥科技有限公司
        ",市场专员/市场营销专员,"
          5000-10000元
        ",,,"
          1-3年
        ","
          大专
        ",上海·松江·小昆山,"
          民营
         
          100-299人
         
          电气机械/电力设备
        "
"
          中国南玻集团股份有限公司
        ",市场营销专员,"
          8000-13000元
        ","市场推广
品牌营销",市场推广,"
          1-3年
        ","
          大专
        ",合肥·蜀山·笔架山,"
          上市公司
         
          10000人以上
         
          非金属矿物制品业
        "
"
          贵州省邮电规划设计院有限公司
        ",市场营销,"
          6000-11000元
        ","电商
团队管理经验
线上营销经验
品牌营销
广告/公关营销
渠道营销
整合营销",电商,"
          3-5年
        ","
          本科
        ",贵阳·南明,"
          国企
         
          300-499人
         
          计算机硬件
        "
"
          中冶交通建设集团有限公司
        ",区域市场营销专员,"
          6000-8000元
        ",,,"
          经验不限
        ","
          本科
        ",北京·海淀·北下关,"
          国企
         
          1000-9999人
         
          工程施工
        "
"
          八马茶业股份有限公司
        ",高级市场营销专员(J10004),"
          8000-12000元·14薪
        ","品牌营销
公关营销",品牌营销,"
          1-3年
        ","
          本科
        ",深圳·罗湖·南湖,"
          民营
         
          1000-9999人
         
          零售/批发
        "
"
          中国电子科技集团公司第二十一研究所
        ",市场营销,"
          6000-9000元
        ","市场营销
市场推广
电机
销售",市场营销,"
          经验不限
        ","
          本科
        ",上海·徐汇·虹梅路,"
          事业单位
         
          500-999人
         
          学术/科研
        "
"
          牧原股份
        ",销售专员/销售代表/销售管培生/市场营销（底薪8K起，转正综合15-40K+，免费住宿等）,"
          1.5-3万
        ","市场推广
市场策划
市场拓展
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",滁州·琅琊区·清流街道,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          濮阳市万泉化工有限公司
        ",市场营销,"
          8000-15000元
        ",市场营销,市场营销,"
          1-3年
        ","
          大专
        ",濮阳·华龙区·王助镇,"
          民营
         
          100-299人
         
          石油/石化
        "
"
          青岛康大集团
        ",实验动物销售经理（苏州）（动医/动科/动药/畜牧/生物科技/市场营销等专业）,"
          8000-16000元
        ",,,"
          经验不限
        ","
          大专
        ",苏州·工业园区,"
          上市公司
         
          1000-9999人
         
          零售/批发
        "
"
          中铁联合国际集装箱有限公司
        ",市场营销员,"
          6000-8000元
        ",,,"
          经验不限
        ","
          本科
        ",北京·丰台·太平桥,"
          合资
         
          1000-9999人
         
          客运服务
        "
"
          仲景食品股份有限公司
        ",市场营销专员,"
          1-2万
        ","市场推广
市场策划
市场拓展
整合营销",市场推广,"
          1-3年
        ","
          本科
        ",南阳·宛城区·新店乡,"
          上市公司
         
          1000-9999人
         
          快速消费品
        "
"
          埃吉斯(陕西)企业管理咨询有限公司
        ",市场营销,"
          1-2万
        ",市场推广,市场推广,"
          3-5年
        ","
          学历不限
        ",西安·曲江,"
          外商独资
         
          20-99人
         
          咨询服务
        "
"
          太平人寿保险有限公司广西分公司
        ",太平人寿-广西分公司-市场营销类管培生(J52792),"
          4000-8000元
        ",市场营销方向,市场营销方向,"
          经验不限
        ","
          本科
        ",南宁·良庆·良庆镇,"
          国企
         
          1000-9999人
         
          保险
        "
"
          烟台东星磁性材料股份有限公司
        ",市场营销（日语方向）,"
          5000-10000元
        ",汽车,汽车,"
          1年以下
        ","
          本科
        ",烟台·福山·福新,"
          合资
         
          1000-9999人
         
          金属制品业
        "
"
          厦门联合物流有限公司
        ",市场营销经理（底薪高+双休）,"
          9000-15000元
        ","航运险
保险销售经验",航运险,"
          经验不限
        ","
          本科
        ",深圳·福田·莲花,"
          民营
         
          100-299人
         
          货运/物流/仓储
        "
"
          盛大生物
        ",市场营销管培生+6000无责底薪+六险一金,"
          6000-8000元·13薪
        ",,,"
          经验不限
        ","
          本科
        ",武汉·江夏·佛祖岭,"
          民营
         
          100-299人
         
          农/林/牧/渔
        "
"
          南京海鲸药业股份有限公司
        ",市场营销管培生,"
          5000-8000元
        ","销售方向
市场营销方向",销售方向,"
          经验不限
        ","
          本科
        ",南京·浦口·沿江,"
          股份制企业
         
          500-999人
         
          医药制造
        "
"
          鼎韬科技
        ",市场营销专员,"
          6000-8000元
        ","市场营销
市场推广
电子商务
活动执行",市场营销,"
          经验不限
        ","
          大专
        ",天津·河东·大直沽,"
          民营
         
          20-99人
         
          咨询服务
        "
"
          西安奥克自动化仪表有限公司
        ",市场营销经理,"
          8000-10000元
        ","市场销售
销售经验",市场销售,"
          经验不限
        ","
          本科
        ",西安·未央·张家堡,"
          民营
         
          20-99人
         
          仪器仪表制造
        "
"
          卓曜(深圳)科技有限公司
        ",市场营销助理,"
          8000-15000元
        ","品牌营销
渠道营销",品牌营销,"
          经验不限
        ","
          本科
        ",北京·海淀·八里庄,"
          民营
         
          20-99人
         
          电子设备制造
        "
"
          深圳市艾晨数字能源有限公司
        ",海外市场营销专员,"
          8000-15000元
        ","网站
海外SEO/SEM投放
流量运营
B端客户",网站,"
          1-3年
        ","
          本科
        ",深圳·光明·凤凰,"
          民营
         
          100-299人
         
          新能源
        "
"
          柳州市卓纲广告传媒有限公司
        ",市场营销,"
          6000-12000元
        ","市场推广
市场策划
市场拓展
整合营销",市场推广,"
          经验不限
        ","
          大专
        ",柳州·城中区·静兰街道," 
          20-99人
         
          广告/营销
        "
"
          温州悦阳健康科技有限公司
        ",市场营销,"
          6000-10000元
        ","整合营销
品牌营销
公关营销
市场推广
市场拓展
面销
直销
快销",整合营销,"
          经验不限
        ","
          学历不限
        ",温州·鹿城区·南汇街道," 
          20-99人
         
          医疗设备/器械
        "
"
          沃德税务师事务所(内蒙古)集团有限公司
        ",电话销售、市场营销专员,"
          6000-12000元
        ","企业客户
财税服务咨询
电话销售沟通
客户需求匹配",企业客户,"
          经验不限
        ","
          大专
        ",呼和浩特·新城·东风路,"
          股份制企业
         
          100-299人
         
          财务/审计/税务
        "
"
          益客集团
        ",市场营销类(J10304),"
          6000-10000元
        ","市场推广
销售",市场推广,"
          1年以下
        ","
          本科
        ",泰安·新泰市·汶南镇,"
          上市公司
         
          10000人以上
         
          快速消费品
        "
"
          山东华特磁电集团股份有限公司
        ",海外市场营销运营,"
          6000-10000元
        ","海外SEO/SEM投放
海外社交媒体投放",海外SEO/SEM投放,"
          1-3年
        ","
          大专
        ",青岛·崂山·中韩,"
          民营
         
          500-999人
         
          电气机械/电力设备
        "
"
          杭州精锋园林工具有限公司
        ",市场营销专员,"
          5000-10000元
        ","市场推广
市场策划
品牌营销",市场推广,"
          经验不限
        ","
          大专
        ",杭州·桐庐·凤川,"
          民营
         
          500-999人
         
          金属制品业
        "
"
          禾丰食品股份有限公司
        ",市场营销管培生,"
          6000-10000元
        ","市场营销方向
应届毕业生
无经验",市场营销方向,"
          经验不限
        ","
          本科
        ",沈阳·沈北·辉山,"
          上市公司
         
          10000人以上
         
          农副产品加工制造
        "
"
          长春亚大汽车零件制造有限公司成都分公司
        ",市场管培生/市场营销/销售/大客户经理,"
          7000-9000元·13薪
        ","区域销售
储能",区域销售,"
          经验不限
        ","
          本科
        ",成都·双流·黄甲,"
          合资
         
          100-299人
         
          汽车零部件
        "
"
          中国汽车技术研究中心有限公司
        ",市场营销岗,"
          面议
        ","客户维护
业务对接",客户维护,"
          经验不限
        ","
          本科
        ",合肥·蜀山·新产业园,"
          国企
         
          1000-9999人
         
          汽车研发/制造
        "
"
          达州诺德商贸有限责任公司
        ",市场营销,"
          3000-6000元
        ",市场推广,市场推广,"
          1-3年
        ","
          大专
        ",达州·通川区·西城街道," 
          500-999人
         
          美发/美容/保健
        "
"
          浙江伟星商贸有限公司合肥分公司
        ",市场营销（上市公司）,"
          5000-10000元
        ","市场营销
市场推广
市场调研",市场营销,"
          1-3年
        ","
          本科
        ",合肥·包河·骆岗,"
          民营
         
          20-99人
         
          建材
        "
"
          智联猎头
        ",市场营销岗,"
          7000-8000元
        ","市场推广
市场拓展
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",长春·宽城·站前,"
          其它
         
          10000人以上
         
          互联网
        "
"
          天津津准工程勘测有限公司
        ",市场营销,"
          1.3-1.5万
        ","企业客户
政府客户",企业客户,"
          3-5年
        ","
          大专
        ",天津·津南·双港,"
          民营
         
          100-299人
         
          专业技术服务
        "
"
          牧原股份
        ",销售专员/销售代表/销售管培生/市场营销（底薪8K起，转正综合15-40K+，免费住宿等）,"
          1.5-3万
        ","市场推广
市场策划
市场拓展
整合营销",市场推广,"
          经验不限
        ","
          本科
        ",唐山·路北区·翔云道街道,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          江苏中致建设科技有限公司上海分公司
        ",市场营销管培生,"
          6000-8000元
        ","品牌营销
整合营销
市场推广
市场策划",品牌营销,"
          经验不限
        ","
          本科
        ",上海·青浦·盈浦,"
          民营
         
          100-299人
         
          工程施工
        "
"
          河北创联通信科技有限公司
        ",市场营销,"
          8000-12000元
        ",,,"
          3-5年
        ","
          大专
        ",石家庄·鹿泉·鹿泉经开区,"
          其它
         
          20-99人
         
          电子设备制造
        "
"
          浙江华企信息科技有限公司宁波第一分公司
        ",市场营销专员,"
          1-1.5万
        ",市场推广,市场推广,"
          经验不限
        ","
          大专
        ",宁波·海曙·鼓楼,"
          民营
         
          100-299人
         
          网络/信息安全
        "
"
          美亚百岁康健康产业集团有限公司
        ",市场营销策划,"
          4000-8000元
        ",,,"
          经验不限
        ","
          本科
        ",福州·仓山·盖山,"
          民营
         
          100-299人
         
          卫生服务
        "
"
          东莞市月亮通信科技有限公司
        ",急聘电信销售员•市场营销•双休,"
          9000-15000元
        ","市场推广
市场拓展",市场推广,"
          经验不限
        ","
          学历不限
        ",东莞·莞城街道,"
          其它
         
          20-99人
         
          运营商/增值服务
        "
"
          上海民族乐器一厂有限公司
        ",市场营销专员,"
          8000-15000元
        ","市场拓展
品牌营销",市场拓展,"
          经验不限
        ","
          本科
        ",上海·闵行·七宝,"
          国企
         
          500-999人
         
          电子设备制造
        "
"
          中天控股集团有限公司
        ",市场营销专员,"
          7000-10000元
        ","市场拓展
市场营销",市场拓展,"
          经验不限
        ","
          大专
        ",杭州·滨江·浦沿,"
          民营
         
          10000人以上
         
          工程施工
        "
"
          中科路恒工程设计有限公司
        ",交通工程市场营销经理,"
          8000-15000元·15薪
        ","市场营销
市场推广
市场运营",市场营销,"
          1-3年
        ","
          本科
        ",太原·小店·龙城,"
          股份制企业
         
          300-499人
         
          工程技术与设计服务
        "
"
          外企德科
        ",市场营销（三方）,"
          1-1.5万
        ","市场策划
品牌营销
英文作为工作语言",市场策划,"
          1-3年
        ","
          本科
        ",上海·杨浦·新江湾城,"
          合资
         
          300-499人
         
          人力资源服务
        "
"
          广州小糊涂仙酒业有限公司
        ",市场营销管培生,"
          5000-10000元·13薪
        ","市场营销
策划
营销方向
市场方向
销售方向",市场营销,"
          经验不限
        ","
          本科
        ",杭州·拱墅·祥符,"
          民营
         
          1000-9999人
         
          快速消费品
        "
"
          广东自远环保股份有限公司
        ",市场营销,"
          4000-6000元
        ","合同拟定
市场宣传
市场开发
商务合作
标书制作",合同拟定,"
          经验不限
        ","
          本科
        ",梅州·梅县区·扶大镇,"
          民营
         
          100-299人
         
          环保
        "
"
          吉利控股集团
        ",市场营销,"
          面议
        ","市场营销
市场推广
市场策划
本地资源",市场营销,"
          3-5年
        ","
          本科
        ",成都·武侯·簇锦,"
          民营
         
          10000人以上
         
          汽车研发/制造
        "
