标题,薪水,关键词,标签,其它,其它1,其它2,公司,关键词3
银川便利店-运营督导,"
          6000-9000元
        ","连锁店
便利店
门店运营
卖场运营
销售管理",连锁店,"
          1-3年
        ","
          大专
        ",银川·金凤区·上海西路街道,"
          甘肃早晚八点半贸易有限公司
        ","
          民营
         
          100-299人
         
          零售/批发
        "
门店运营(J10530),"
          1.5-3万
        ","商家日常服务
食品/饮料/烟酒",商家日常服务,"
          3-5年
        ","
          大专
        ",洛阳·洛龙,"
          海南万加文化有限公司河南分公司
        "," 
          20-99人
         
          企业服务
        "
外卖运营,"
          6000-8000元
        ",外卖,外卖,"
          1-3年
        ","
          大专
        ",沈阳·和平·太原街,"
          冠珹餐饮管理(沈阳)有限公司
        ","
          民营
         
          100-299人
         
          餐饮服务
        "
门店运营经理,"
          6000-12000元
        ","销售运营
直播运营
门店运营",销售运营,"
          1-3年
        ","
          本科
        ",沈阳·沈河·朱剪炉,"
          上海开欣医疗科技有限公司
        ","
          民营
         
          300-499人
         
          卫生服务
        "
连锁药店运营管培生-上市集团龙头,"
          6000-9000元·13薪
        ","销售方向
市场营销方向
运营方向
门店运营
电商运营",销售方向,"
          经验不限
        ","
          本科
        ",西安·莲湖·北院门,"
          河南大参林连锁药店有限公司
        ","
          上市公司
         
          1000-9999人
         
          零售/批发
        "
运营总监,"
          7000-10000元
        ","社群运营
活动运营
门店运营
toB
toC
toG",社群运营,"
          经验不限
        ","
          大专
        ",常州·钟楼·永红,"
          常州金杉环保科技有限公司
        ","
          其它
         
          20-99人
         
          环保
        "
杉杉奥莱招商运营管培生 (MJ019507),"
          8000-11000元
        ","运营方向
门店运营",运营方向,"
          经验不限
        ","
          本科
        ",郑州·二七区·侯寨,"
          杉杉商业集团有限公司
        ","
          民营
         
          1000-9999人
         
          新零售
        "
民宿管家（包食宿）,"
          4000-7000元
        ","民宿管家
线下运营
客诉处理",民宿管家,"
          1-3年
        ","
          学历不限
        ",长沙·开福·望麓园,"
          湖南为华企业管理有限公司
        ","
          民营
         
          100-299人
         
          咨询服务
        "
诗普琳珠宝直营店储备干部（销售运营方向）,"
          7000-12000元
        ","运营方向
销售方向
市场营销方向
门店运营
社区运营",运营方向,"
          1-3年
        ","
          本科
        ",西安·雁塔·长延堡,"
          深圳诗普琳珠宝有限公司
        ","
          民营
         
          1000-9999人
         
          零售/批发
        "
市场运营,"
          5000-10000元
        ",线下运营,线下运营,"
          经验不限
        ","
          学历不限
        ",郑州·金水·南阳新村,"
          河南牧索电子科技有限公司
        ","
          其它
         
          20-99人
         
          零售/批发
        "
连锁门店运营督导,"
          8000-15000元
        ","连锁店
门店运营
卖场运营",连锁店,"
          经验不限
        ","
          大专
        ",北京·朝阳·亚运村,"
          安惠汽配
        ","
          民营
         
          500-999人
         
          汽车研发/制造
        "
营地管家,"
          3000-5000元
        ","运营管理
线下运营",运营管理,"
          3-5年
        ","
          大专
        ",日照·东港区·两城街道,"
          日照发达实业有限公司
        ","
          民营
         
          100-299人
         
          房地产开发
        "
运营督导,"
          5000-8000元
        ","门店运营
卖场运营
加盟店
直营店",门店运营,"
          1-3年
        ","
          大专
        ",郑州·二七区·长江路,"
          河南森莱尔商贸有限公司
        ","
          民营
         
          20-99人
         
          耐用消费品
        "
项目运营（3.5K+免费住宿）,"
          4000-6000元
        ","线下运营
商家运营",线下运营,"
          经验不限
        ","
          大专
        ",兰州·城关区·白银路街道,"
          甘肃浩雅轩互联网科技有限公司
        ","
          股份制企业
         
          20-99人
         
          互联网
        "
养老/民宿运营主管,"
          4000-6000元
        ",线下运营,线下运营,"
          1-3年
        ","
          大专
        ",天津·南开·长虹,"
          天津市森润物业管理有限公司
        ","
          民营
         
          100-299人
         
          物业管理
        "
民宿管家,"
          3000-4000元
        ","民宿管家
线上运营
线下运营",民宿管家,"
          1-3年
        ","
          学历不限
        ",阿坝·理县·上孟乡,"
          大韵天地景观艺术工程(成都)有限公司
        "," 
          20人以下
         
          文化艺术/娱乐
        "
市场运营专员,"
          5000-7000元
        ","用户运营
活动运营
市场推广策略
跨部门协调
数据分析驱动
线下运营
渠道运营",用户运营,"
          经验不限
        ","
          大专
        ",南宁·青秀·南湖,"
          广西迅捷通信有限公司
        ","
          民营
         
          20-99人
         
          运营商/增值服务
        "
门店运营经理,"
          6000-8000元
        ","活动运营
销售运营
门店运营",活动运营,"
          1-3年
        ","
          大专
        ",阜阳·颍州区·清河街道,"
          阜阳金铂达电器销售有限公司
        ","
          代表处
         
          20-99人
         
          零售/批发
        "
线下拓展运营,"
          5000-10000元
        ","市场营销
乐观，有梦想敢于挑战",市场营销,"
          经验不限
        ","
          大专
        ",西安·碑林·长安路,"
          西安以探企业管理有限责任公司
        ","
          其它
         
          20-99人
         
          零售/批发
        "
运营经理,"
          6000-10000元
        ","活动运营
门店运营
商家运营",活动运营,"
          1-3年
        ","
          大专
        ",驻马店·遂平县·车站街道,"
          驻马店智行研学文化有限公司
        ","
          民营
         
          100-299人
         
          物业管理
        "
国企正编-产品运营,"
          2-3万
        ",,,"
          1-3年
        ","
          本科
        ",广州·黄埔·联和,"
          智联猎头
        ","
          其它
         
          10000人以上
         
          互联网
        "
门店运营专员（双休+五险一金）,"
          5000-8000元
        ","外卖运营
商家运营",外卖运营,"
          1-3年
        ","
          大专
        ",泉州·晋江市·陈埭镇,"
          安腾集团有限公司
        ","
          民营
         
          1000-9999人
         
          房地产开发
        "
运营管培生,"
          1-1.2万
        ","运营方向
市场营销方向
销售方向
新媒体运营
门店运营
社区运营",运营方向,"
          经验不限
        ","
          本科
        ",重庆·沙坪坝·渝碚路,"
          新东方教育科技集团有限公司
        ","
          上市公司
         
          10000人以上
         
          培训/辅导服务
        "
民宿管家,"
          3000-4000元
        ","民宿管家
线上运营
线下运营",民宿管家,"
          经验不限
        ","
          大专
        ",新乡·卫辉市·狮豹头乡,"
          河南省凯达建筑有限公司
        ","
          民营
         
          1000-9999人
         
          建筑设备安装
        "
运营督导,"
          6000-8000元
        ",门店运营,门店运营,"
          1-3年
        ","
          大专
        ",郑州·中牟,"
          河南李吃吃食品有限公司
        ","
          民营
         
          20-99人
         
          食品/饮料
        "
运营督导/门店督导,"
          5000-8000元
        ","门店运营
销售管理
连锁店
加盟店",门店运营,"
          1-3年
        ","
          大专
        ",绵阳·涪城区·城厢街道,"
          成都瘦吧品牌管理有限公司
        ","
          民营
         
          300-499人
         
          美发/美容/保健
        "
杉杉奥莱招商运营管培生 (MJ019507),"
          8000-11000元
        ","运营方向
门店运营",运营方向,"
          经验不限
        ","
          本科
        ",郑州·中牟·大孟,"
          杉杉商业集团有限公司
        ","
          民营
         
          1000-9999人
         
          新零售
        "
名宿运营经理,"
          1-2万
        ","民宿销售
线上运营
线下运营",民宿销售,"
          5-10年
        ","
          大专
        ",阿坝·黑水县·沙石多镇,"
          阿坝州羊茸哈德旅游服务有限公司
        "," 
          20-99人
         
          旅游服务
        "
线下渠道运营专员,"
          6000-8000元
        ","代理商/经销商
招商加盟",代理商/经销商,"
          1-3年
        ","
          本科
        ",西安·长安·郭杜,"
          西安巨子生物基因技术股份有限公司
        ","
          上市公司
         
          1000-9999人
         
          医药制造
        "
五险 双休 不加班 高级运营专员,"
          5000-8000元
        ","销售运营
电商运营
门店运营",销售运营,"
          经验不限
        ","
          大专
        ",邯郸·丛台区·兼庄乡,"
          中国平安人寿保险股份有限公司河北分公司2
        ","
          上市公司
         
          10000人以上
         
          保险
        "
国企文旅项目度假中心民宿经理,"
          8000-12000元
        ","民宿管家
线上运营
线下运营
酒店
客户服务",民宿管家,"
          5-10年
        ","
          大专
        ",济南·长清·马山,"
          济南乐商运营管理有限公司
        ","
          国企
         
          100-299人
         
          旅游服务
        "
门店运营,"
          6000-9000元
        ","运营管理
策略运营
产品运营
活动运营",运营管理,"
          1-3年
        ","
          本科
        ",合肥·蜀山·南七,"
          小米通讯
        ","
          上市公司
         
          10000人以上
         
          互联网
        "
酒店民宿管家,"
          4000-7000元
        ","民宿管家
线下运营
线上运营",民宿管家,"
          1-3年
        ","
          中专/中技
        ",天津·滨海新区·塘沽,"
          天津滨海雷克斯激光科技发展有限公司
        ","
          民营
         
          100-299人
         
          金属制品业
        "
市场运营管理（小儿外科及综合）(A156053),"
          1-1.5万
        ","会员运营
活动运营
新媒体运营
线下运营",会员运营,"
          3-5年
        ","
          本科
        ",深圳·南山·南山,"
          北京宜和医院有限公司
        ","
          合资
         
          1000-9999人
         
          卫生服务
        "
民宿主理人,"
          1-2万
        ","民宿运营
民宿营销
线上运营
线下运营",民宿运营,"
          3-5年
        ","
          本科
        ",合肥·肥西·紫蓬,"
          安徽长安开元教育科技有限公司
        ","
          民营
         
          500-999人
         
          科学技术推广
        "
民宿运营经理,"
          7000-10000元·14薪
        ","民宿开发
民宿运营管理
线下运营",民宿开发,"
          1-3年
        ","
          大专
        ",烟台·蓬莱·紫荆山,"
          新奥集团
        ","
          民营
         
          10000人以上
         
          电力/水利/热力/燃气
        "
线下稽核专员,"
          5000-9000元
        ","连锁店
加盟店
直营店
门店运营
卖场运营
客户管理",连锁店,"
          经验不限
        ","
          大专
        ",宁波·海曙·白云,"
          江西嘉木人力资源有限公司
        ","
          民营
         
          10000人以上
         
          计算机软件
        "
培训运营（线下运营方向）,"
          面议
        ",,,"
          3-5年
        ","
          本科
        ",北京,"
          北京三快在线科技有限公司
        ","
          上市公司
         
          10000人以上
         
          互联网
        "
门店运营督导,"
          4000-8000元
        ","商场
门店销售",商场,"
          1-3年
        ","
          大专
        ",松原·宁江区·滨江街道,"
          吉林省中正科技有限公司
        ","
          民营
         
          20-99人
         
          通信/网络设备
        "
高端民宿店长,"
          6000-12000元
        ","线上运营
线下运营",线上运营,"
          3-5年
        ","
          大专
        ",日照·东港区·卧龙山街道,"
          安泰实业(山东)集团有限公司
        ","
          民营
         
          1000-9999人
         
          房地产开发
        "
餐饮和民宿负责人,"
          1.5-2万
        ","民宿开发
民宿管家
民宿销售
线上运营
线下运营",民宿开发,"
          3-5年
        ","
          本科
        ",琼海·中原镇,"
          海南固业置业有限公司
        ","
          民营
         
          20-99人
         
          酒店/民宿
        "
产品运营,"
          5000-10000元
        ","包住
社保
有销售性质",包住,"
          经验不限
        ","
          大专
        ",西安·碑林·长安路,"
          西安硕笙企业管理咨询有限公司
        ","
          民营
         
          20-99人
         
          专业技术服务
        "
视光运营经理,"
          5000-10000元
        ","门店运营
数据运营
视光业务管理
患者服务优化
医疗团队协作",门店运营,"
          1-3年
        ","
          大专
        ",临沂·莒南·十字路,"
          莒南光明眼科医院
        "," 
          100-299人
         
          卫生服务
        "
餐饮门店运营督导专员,"
          6000-8000元
        ",,,"
          1-3年
        ","
          中专/中技
        ",兰州·城关区·酒泉路街道,"
          城关区嘉福元火锅店(个体工商户)
        "," 
          500-999人
         
          餐饮服务
        "
线下运营专员,"
          6000-8000元·13薪
        ","门店运营
社群运营
商家运营",门店运营,"
          1-3年
        ","
          高中
        ",上海·静安·共和新路,"
          沃连盟(上海)科技有限公司
        ","
          民营
         
          20-99人
         
          在线生活服务（O2O）
        "
8K饮料线下运营-时间自由（包食宿）,"
          7000-12000元
        ","地推经验
快消品零售
团建活动
氛围好师傅带
节假日福利",地推经验,"
          经验不限
        ","
          学历不限
        ",东莞·凤岗镇,"
          广东羊大师乳业有限公司
        ","
          民营
         
          10000人以上
         
          快速消费品
        "
市场招生-未来星业务领袖,"
          1.4-1.8万·14薪
        ","新媒体运营
自媒体运营
销售运营
用户运营
线下运营
活动运营",新媒体运营,"
          经验不限
        ","
          本科
        ",北京·西城·展览路,"
          上海高顿教育科技有限公司
        ","
          民营
         
          1000-9999人
         
          培训/辅导服务
        "
口腔运营（全国出差）,"
          1.5-2万
        ","toC
口腔连锁门诊经验
门店运营
口腔行业优先",toC,"
          3-5年
        ","
          本科
        ",北京·朝阳,"
          北京柯立美医疗科技有限公司
        ","
          社会团体
         
          100-299人
         
          医疗设备/器械
        "
管家经营（偏酒店公寓方向）,"
          6000-7000元
        ","民宿管家
民宿销售
线上运营
线下运营
社群活动策划",民宿管家,"
          1-3年
        ","
          大专
        ",福州·晋安·新店,"
          福建海峡企业管理服务有限公司
        ","
          国企
         
          300-499人
         
          专业技术服务
        "
场馆运营,"
          5000-9000元
        ","门店运营
活动运营
场地运营",门店运营,"
          经验不限
        ","
          大专
        ",北京·海淀·中关村,"
          北京中科行健体育文化有限公司
        ","
          国企
         
          20-99人
         
          体育
        "
电商运营,"
          5000-8000元
        ","电子商务
网络渠道推广
网络直播",电子商务,"
          1-3年
        ","
          大专
        ",运城·稷山县·稷峰镇,"
          晋龙股份
        ","
          股份制企业
         
          1000-9999人
         
          农/林/牧/渔
        "
运营经理,"
          6000-10000元
        ","销售运营
数据运营
门店运营
toC",销售运营,"
          1-3年
        ","
          大专
        ",沧州·运河区·南陈屯镇,"
          天津小橙集团有限公司
        ","
          民营
         
          1000-9999人
         
          养老/孤儿/看护
        "
媒体线下运营师,"
          4000-7000元
        ",广告传媒,广告传媒,"
          经验不限
        ","
          大专
        ",西安·雁塔·长延堡,"
          陕西金海豚传媒科技集团有限公司
        ","
          民营
         
          100-299人
         
          广告/营销
        "
市场营销主管,"
          8000-16000元
        ","社群运营
自媒体运营
渠道运营
线下运营
国内市场",社群运营,"
          5-10年
        ","
          本科
        ",益阳·资阳区·长春镇,"
          湖南益传食食品科技有限公司
        "," 
          100-299人
         
          农副产品加工制造
        "
门店运营经理,"
          1-1.5万
        ","门店运营
toC
出差
用户运营
活动运营",门店运营,"
          1-3年
        ","
          大专
        ",福州·长乐·湖南,"
          福州溯心文化传播有限公司
        "," 
          20-99人
         
          文化艺术/娱乐
        "
区域商品采销/运营管理岗（26届校园招聘）,"
          6000-8000元
        ","运营方向
门店运营
商品采销
市场营销方向",运营方向,"
          经验不限
        ","
          本科
        ",西安·未央·大明宫,"
          陕西苏宁易购销售有限公司
        ","
          上市公司
         
          10000人以上
         
          零售/批发
        "
民宿管家,"
          5000-6000元
        ","民宿开发
民宿管家
线上运营
线下运营",民宿开发,"
          1-3年
        ","
          学历不限
        ",苏州·姑苏·平江,"
          苏州市对外服务中心有限公司
        ","
          国企
         
          20-99人
         
          人力资源服务
        "
运营服务中心主任,"
          1.2-2万
        ","门店运营
toC",门店运营,"
          5-10年
        ","
          本科
        ",大连·沙河口·南沙河口,"
          东软集团(大连)有限公司
        ","
          合资
         
          500-999人
         
          计算机软件
        "
园区运营专员,"
          6000-8000元
        ","新媒体运营
产品运营
门店运营",新媒体运营,"
          1-3年
        ","
          本科
        ",深圳·坪山·坪山街道,"
          深圳市优才人力资源有限公司
        ","
          国企
         
          1000-9999人
         
          人力资源服务
        "
市场运营,"
          4000-8000元·16薪
        ","销售运营
国内市场
线下运营
会员运营
品牌运营
网络运营
敢于突破和挑战自我。",销售运营,"
          经验不限
        ","
          高中
        ",宜春·官园街道,"
          宜春振硕水业有限公司
        "," 
          20人以下
         
          零售/批发
        "
线下门店运营经理,"
          6000-10000元
        ","门店运营
产品运营",门店运营,"
          3-5年
        ","
          大专
        ",成都·双流·东升,"
          四川启成体育发展有限公司
        ","
          民营
         
          100-299人
         
          体育
        "
外卖运营专员,"
          5000-10000元
        ","美团外卖
电商运营
用户运营
门店运营",美团外卖,"
          1-3年
        ","
          学历不限
        ",哈尔滨·道里·工农,"
          黑龙江悦柏餐饮管理有限公司
        ","
          民营
         
          20-99人
         
          IT服务
        "
运营助理,"
          5000-8000元
        ","英语
运营经理
社群用户运营
会员体系运营
门店运营
企业运营
活动运营
App运营",英语,"
          1-3年
        ","
          大专
        ",上海·浦东·陆家嘴,"
          上海谷火文化传播有限公司
        ","
          民营
         
          20-99人
         
          文化艺术/娱乐
        "
京东大药房连锁门店运营经理,"
          1.4-2.5万·16薪
        ",华北大区,华北大区,"
          3-5年
        ","
          大专
        ",北京·通州·台湖,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
民宿及生态运营主管,"
          5000-6000元
        ","民宿管家
民宿销售
民宿开发
线下运营",民宿管家,"
          3-5年
        ","
          大专
        ",上海·静安·彭浦新村,"
          苏州炜锶沌科技有限公司
        ","
          民营
         
          20-99人
         
          人工智能
        "
国际名品/奢品运营经理/总监 (MJ018079),"
          8000-12000元
        ","活动运营
门店运营",活动运营,"
          经验不限
        ","
          本科
        ",大连·甘井子·甘井子街,"
          杉杉商业集团有限公司
        ","
          民营
         
          1000-9999人
         
          新零售
        "
门店运营督导,"
          6000-10000元
        ",门店销售,门店销售,"
          1-3年
        ","
          大专
        ",沈阳·皇姑·三台子,"
          大连市甘井子区香格丽拉的秘密品牌服装有限公司
        "," 
          20-99人
         
          服装/纺织/皮革
        "
民宿收房专员,"
          1.5-2.6万
        ","民宿销售
民宿管家
民宿开发
线上运营
线下运营",民宿销售,"
          1年以下
        ","
          高中
        ",广州·番禺·东环,"
          广州雅尚精选酒店管理有限公司
        ","
          民营
         
          100-299人
         
          酒店/民宿
        "
市场运营,"
          8000-16000元
        ","渠道运营
线下运营
活动运营",渠道运营,"
          1年以下
        ","
          学历不限
        ",成都·青羊·金沙,"
          成都云界教育咨询有限公司
        ","
          民营
         
          100-299人
         
          培训/辅导服务
        "
民宿运营主管,"
          4000-8000元
        ","线下运营
线上运营
民宿管家
民宿销售",线下运营,"
          3-5年
        ","
          大专
        ",葫芦岛·绥中县·万家镇,"
          北京亚胜置业有限公司
        ","
          民营
         
          100-299人
         
          房地产开发
        "
住宿+市场运营,"
          6000-8000元
        ","销售运营
线下运营",销售运营,"
          经验不限
        ","
          大专
        ",长春·南关·曙光,"
          长春高格信息技术有限公司
        ","
          民营
         
          20-99人
         
          零售/批发
        "
市场运营,"
          5000-7000元·13薪
        ","新媒体运营
社群运营
短视频运营
活动运营
网络运营
自媒体运营
商家运营
用户运营
线下运营
品牌运营",新媒体运营,"
          1-3年
        ","
          本科
        ",苏州·姑苏·白洋湾,"
          苏州和光同辰商业咨询管理有限公司
        ","
          民营
         
          20-99人
         
          企业服务
        "
门店运营助理,"
          5000-10000元
        ","销售运营
直播运营
门店运营",销售运营,"
          1-3年
        ","
          本科
        ",济南·历下·千佛山,"
          山东忆展眼镜有限公司
        ","
          民营
         
          20-99人
         
          零售/批发
        "
超市运营主管,"
          6000-10000元
        ","门店运营
toC
带薪培训
晋升快",门店运营,"
          经验不限
        ","
          大专
        ",桂林·叠彩区·北门街道,"
          桂林力源粮油食品集团有限公司
        ","
          民营
         
          10000人以上
         
          农/林/牧/渔
        "
兰州便利店-运营督导,"
          6000-9000元
        ","连锁店
便利店
门店运营
卖场运营
销售管理",连锁店,"
          1-3年
        ","
          大专
        ",兰州·七里河区·建兰路街道,"
          甘肃早晚八点半贸易有限公司
        ","
          民营
         
          100-299人
         
          零售/批发
        "
市场营销主管,"
          8000-12000元
        ","销售运营
渠道运营
线下运营",销售运营,"
          1-3年
        ","
          本科
        ",昆明·西山·金碧,"
          云南金诺教育投资控股集团有限公司
        ","
          民营
         
          1000-9999人
         
          培训/辅导服务
        "
民宿运营经理/主理人,"
          4000-6000元
        ","民宿管家
线下运营",民宿管家,"
          3-5年
        ","
          大专
        ",锦州·古塔区·士英街道,"
          辽宁输变电工程建设有限公司
        ","
          民营
         
          100-299人
         
          工程施工
        "
演艺空间运营主理人,"
          8000-12000元
        ",门店运营,门店运营,"
          1-3年
        ","
          本科
        ",长沙·开福·洪山,"
          乐田娱乐(湖南)有限公司
        ","
          国企
         
          100-299人
         
          广播/影视
        "
海帆亲子游泳中心运营总监,"
          8000-16000元
        ","门店运营
toC",门店运营,"
          经验不限
        ","
          大专
        ",鹤壁·淇滨区·九州路街道,"
          河南趣趣山谷教育科技有限公司
        ","
          民营
         
          100-299人
         
          培训/辅导服务
        "
酒店运营,"
          1.5-2万·13薪
        ","门店运营
产品运营
直播运营",门店运营,"
          5-10年
        ","
          大专
        ",杭州·余杭·五常,"
          杭开控股集团有限公司
        "," 
          100-299人
         
          环保
        "
旅居康养负责人,"
          1-2万
        ","线上运营
线下运营
民宿开发
民宿管家",线上运营,"
          5-10年
        ","
          本科
        ",杭州·淳安·千岛湖,"
          中物联物业集团有限公司
        ","
          民营
         
          500-999人
         
          物业管理
        "
储备生——零售管理/门店运营方向,"
          5000-10000元
        ","市场营销方向
五险一金",市场营销方向,"
          经验不限
        ","
          本科
        ",大连·沙河口·春柳,"
          波司登羽绒服装
        ","
          民营
         
          10000人以上
         
          耐用消费品
        "
全国运营中心运营总监,"
          1.5-2万
        ","门店运营
活动运营",门店运营,"
          10年以上
        ","
          本科
        ",郑州·二七区·淮河路,"
          郑州元佑堂生物科技有限公司
        ","
          民营
         
          500-999人
         
          医药制造
        "
民宿管家,"
          3000-6000元
        ","民宿管家
线下运营",民宿管家,"
          1-3年
        ","
          中专/中技
        ",焦作·博爱县·柏山镇,"
          河南天基轮胎有限公司
        ","
          民营
         
          1000-9999人
         
          橡胶和塑料制品
        "
餐饮运营负责人,"
          1-1.5万
        ","直播运营
内容运营
门店运营
toB
toC
toG
运营管理",直播运营,"
          1-3年
        ","
          学历不限
        ",银川·兴庆区·富宁街街道,"
          银川市兴庆区市德井里主题餐饮店(个体工商户)
        "," 
          20人以下
         
          餐饮服务
        "
零售运营专员(J10256),"
          6000-9000元
        ","数据运营
活动运营
门店运营",数据运营,"
          经验不限
        ","
          大专
        ",北京·朝阳,"
          小罐茶
        ","
          民营
         
          100-299人
         
          快速消费品
        "
招商运营专员 (MJ018107),"
          5000-8000元
        ","门店运营
数据运营",门店运营,"
          1-3年
        ","
          本科
        ",乌鲁木齐·新市区·二工乡,"
          杉杉商业集团有限公司
        ","
          民营
         
          1000-9999人
         
          新零售
        "
民宿管家,"
          3000-5000元
        ","民宿管家
线上运营
线下运营
民宿销售",民宿管家,"
          1-3年
        ","
          学历不限
        ",开封·龙亭区·北郊乡,"
          开封市龙亭区尚华民宿酒店
        "," 
          20人以下
         
          酒店/民宿
        "
前台主管兼运营助理,"
          5000-10000元
        ","门店运营
数据支持
销售助理
统计核算
电商运营
抖音
美团
快手
小红书
新媒体运营
Shopify
淘宝",门店运营,"
          经验不限
        ","
          大专
        ",沈阳·大东·东站,"
          沈阳星耀未来企业管理有限公司
        "," 
          20-99人
         
          培训/辅导服务
        "
运营专员,"
          8000-16000元
        ","销售运营
社群运营
门店运营",销售运营,"
          经验不限
        ","
          大专
        ",北京·大兴·林校路,"
          中国平安人寿保险股份有限公司北京分公司2
        ","
          股份制企业
         
          1000-9999人
         
          保险
        "
线下运营专员,"
          4000-6000元
        ","C端用户
用户增长",C端用户,"
          1-3年
        ","
          大专
        ",重庆·长寿·菩提,"
          四川诚盈达信息科技有限公司
        ","
          民营
         
          1000-9999人
         
          搬家/生活配送
        "
高级市场营运,"
          1.2-2.2万·13薪
        ","销售运营
线下运营
品牌运营
华南大区
华东大区
港澳台
国际市场",销售运营,"
          3-5年
        ","
          本科
        ",深圳·宝安·石岩,"
          建滔集團有限公司
        ","
          外商独资
         
          10000人以上
         
          电子/半导体/集成电路
        "
门店运营专员,"
          6000-12000元
        ","供应链与订单支持
门店运营",供应链与订单支持,"
          经验不限
        ","
          大专
        ",北京·通州·潞邑,"
          圣元
        ","
          上市公司
         
          1000-9999人
         
          快速消费品
        "
运营管培生,"
          6000-12000元
        ","运营方向
市场营销方向
生产管理方向
门店运营
新媒体运营
电商运营
大学英语四级
双一流本科学历",运营方向,"
          1-3年
        ","
          本科
        ",太原·清徐·集义,"
          圆通速递有限公司
        ","
          上市公司
         
          10000人以上
         
          邮政/快递
        "
外卖运营专员,"
          8000-15000元
        ",门店运营,门店运营,"
          1-3年
        ","
          中专/中技
        ",深圳·龙华·民治,"
          深圳市天天食福餐饮投资有限公司
        ","
          民营
         
          100-299人
         
          餐饮服务
        "
店助/酒店经理,"
          7000-8000元
        ","民宿开发
民宿销售
线上运营
线下运营
民宿酒店经理",民宿开发,"
          3-5年
        ","
          大专
        ",南昌·进贤·二塘,"
          江西聚仁堂实业发展集团有限公司
        ","
          民营
         
          1000-9999人
         
          房地产开发
        "
酒类-市场运营,"
          4000-8000元
        ","活动运营
线下运营
国内市场
销售运营
渠道运营",活动运营,"
          3-5年
        ","
          大专
        ",太原·小店·西温庄,"
          广誉远中药股份有限公司
        ","
          国企
         
          1000-9999人
         
          医药制造
        "
运营开业经理,"
          6000-8000元
        ","门店运营
产品运营",门店运营,"
          经验不限
        ","
          大专
        ",兰州·城关区·盐场路街道,"
          甘肃马路牙子牛肉面管理有限公司
        "," 
          500-999人
         
          餐饮服务
        "
外埠运营部员工,"
          5000-10000元
        ","电商运营
活动运营
门店运营
淘宝
拼多多
京东
快消品行业",电商运营,"
          1-3年
        ","
          大专
        ",邯郸·武安市·武安镇,"
          河北省供销惠民科技有限公司
        ","
          国企
         
          100-299人
         
          零售/批发
        "
校园商务运营,"
          1.2-2万
        ","线下运营
国内市场",线下运营,"
          3-5年
        ","
          本科
        ",武汉·洪山·关山,"
          北京格鲁特咨询服务有限公司
        ","
          民营
         
          20-99人
         
          咨询服务
        "
民宿店长,"
          8000-14000元
        ","民宿管家
线上运营
线下运营",民宿管家,"
          1-3年
        ","
          本科
        ",深圳·龙岗·宝龙,"
          深圳市大田运营管理有限公司
        ","
          民营
         
          20-99人
         
          文化艺术/娱乐
        "
运营总监,"
          8000-10000元
        ","门店运营
数据运营",门店运营,"
          1-3年
        ","
          学历不限
        ",石家庄·桥西·中山,"
          石家庄市雅荟美容用品中心
        ","
          民营
         
          20-99人
         
          美发/美容/保健
        "
门店运营经理/连锁餐饮营运经理/商场运营,"
          8000-10000元
        ","销售运营
门店运营
商家运营",销售运营,"
          1-3年
        ","
          学历不限
        ",辽源·龙山区·工农乡,"
          辽源市天成惠唐人街超市管理有限公司
        ","
          民营
         
          300-499人
         
          零售/批发
        "
门店运营督导,"
          5000-8000元
        ","门店销售
地推销售
区域销售",门店销售,"
          1-3年
        ","
          大专
        ",重庆·南岸·长生桥,"
          重庆九州通医药有限公司
        ","
          民营
         
          500-999人
         
          零售/批发
        "
便利店运营管培生,"
          5000-8000元
        ","门店运营
运营方向",门店运营,"
          经验不限
        ","
          本科
        ",青岛·市南·湛山,"
          友客便利
        ","
          民营
         
          1000-9999人
         
          快速消费品
        "
运营经理/总监,"
          6000-8000元
        ","门店运营
有意者面议。",门店运营,"
          1-3年
        ","
          大专
        ",桂林·大河乡,"
          桂林市叠彩区乐泰洲百货超市(个体工商户)
        "," 
          500-999人
         
          食品/饮料
        "
大区运营主管(J10251),"
          8000-10000元
        ","门店运营
连锁店
加盟店
直营店",门店运营,"
          经验不限
        ","
          大专
        ",重庆·两江新区,"
          小罐茶
        ","
          民营
         
          100-299人
         
          快速消费品
        "
运营主管,"
          6000-9000元
        ",门店运营,门店运营,"
          经验不限
        ","
          大专
        ",苏州·昆山·玉山,"
          南京金鹰国际集团有限公司
        ","
          外商独资
         
          1000-9999人
         
          房地产开发
        "
运营助理（应届实习+带薪培训）,"
          6000-10000元
        ","认真学上手快
喜欢运营
团队运营
公司运营
活动运营",认真学上手快,"
          经验不限
        ","
          大专
        ",沈阳·和平·北市场,"
          沈阳以利雅企业管理咨询有限公司
        ","
          民营
         
          10000人以上
         
          电子商务
        "
山庄运营合作伙伴,"
          8000-16000元
        ","商家运营
门店运营
活动运营",商家运营,"
          1-3年
        ","
          大专
        ",武汉·蔡甸·大集,"
          武汉今日华泰文化办公用品有限责任公司
        ","
          民营
         
          100-299人
         
          办公用品/设备
        "
国企公寓项目运营主管,"
          1-1.2万
        ","线下运营
民宿开发
公寓运营",线下运营,"
          1-3年
        ","
          本科
        ",深圳·南山·粤海,"
          深圳市西部人力资源发展有限公司
        ","
          国企
         
          500-999人
         
          咨询服务
        "
