标题,薪水,关键词,标签,其它,其它1,其它2,公司3,关键词4
腾讯广告投放专员（朋友圈+视频号）,"
          8000-16000元
        ",,,"
          1-3年
        ","
          大专
        ",长沙·芙蓉·荷花园,"
          长沙捷牧教育咨询有限公司
        ","
          其它
         
          100-299人
         
          培训/辅导服务
        "
小红书投放运营专员,"
          9000-13000元
        ","数据分析
信息流优化
产品投放",数据分析,"
          1-3年
        ","
          本科
        ",北京·朝阳,"
          北京粉笔蓝天科技有限公司
        ","
          民营
         
          1000-9999人
         
          互联网
        "
微信小程序推广,"
          8000-15000元
        ","小程序推广
微信商城推广
美食类",小程序推广,"
          1-3年
        ","
          大专
        ",济南·天桥·药山,"
          山东瑞腾食品配料有限公司
        ","
          股份制企业
         
          500-999人
         
          快速消费品
        "
AI支付推广,"
          1-2万
        ","AI支付
AI产品",AI支付,"
          经验不限
        ","
          学历不限
        ",东莞·南城街道,"
          东莞市云翔供应链管理有限公司
        ","
          其它
         
          20人以下
         
          企业服务
        "
信息流广告投放,"
          1-1.3万
        ",,,"
          1-3年
        ","
          大专
        ",上海·闵行·新虹,"
          上海树家医学科技有限公司
        ","
          民营
         
          100-299人
         
          卫生服务
        "
京东BD社区推广（五险一金可就近）,"
          8000-16000元
        ","线下
线上
C端客户
五险一金
老带薪
可就近安排",线下,"
          经验不限
        ","
          学历不限
        ",北京·朝阳,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
小游戏投放,"
          1-1.5万
        ","国内
千万级游戏产品推广经验",国内,"
          1-3年
        ","
          学历不限
        ",北京·石景山·鲁谷,"
          北京游兔科技股份有限公司
        ","
          股份制企业
         
          20-99人
         
          互联网
        "
SEM投放专员（谷歌&Bing）,"
          8000-13000元·14薪
        ","市场推广
英文网站推广经验
SEM
google",市场推广,"
          1-3年
        ","
          本科
        ",广州·天河·冼村,"
          讯汇科技
        ","
          外商独资
         
          100-299人
         
          互联网
        "
抖音团购销售+市场推广+六险一金（字节正编）10k+,"
          8000-15000元
        ","面销/陌拜
地推销售
企业客户
本地生活商家
团购 到店 休闲娱乐",面销/陌拜,"
          经验不限
        ","
          大专
        ",宁波·江北·甬江,"
          外企德科
        ","
          合资
         
          10000人以上
         
          人力资源服务
        "
产品推广专员,"
          9000-12000元·13薪
        ",电商产品,电商产品,"
          经验不限
        ","
          本科
        ",惠州·惠城区·龙丰街道,"
          TCL科技集团股份有限公司
        ","
          合资
         
          10000人以上
         
          耐用消费品
        "
电商运营,"
          7000-8000元
        ","淘宝/天猫
抖音小店
店长
主管",淘宝/天猫,"
          经验不限
        ","
          学历不限
        ",宿迁·宿豫区·晓店街道,"
          江苏自在极意文化创意有限公司
        ","
          股份制企业
         
          20-99人
         
          文化艺术/娱乐
        "
应用商店APP投放,"
          5000-8000元
        ","SEO/SEM/ASO推广经验
信息流投放经验
新媒体推广经验
工具类产品
安卓APP",SEO/SEM/ASO推广经验,"
          1-3年
        ","
          本科
        ",合肥·瑶海,"
          合肥墨格网络科技有限公司
        ","
          其它
         
          20-99人
         
          互联网
        "
新媒体运营（2026年应届实习生）,"
          1000-2000元
        ","短视频平台
抖音
快手
微信视频号
旅游类
医疗类
短视频运营
品牌运营
直播运营",短视频平台,"
          经验不限
        ","
          本科
        ",乌鲁木齐·新市区·喀什东路街道,"
          新疆天缘通用航空有限责任公司
        ","
          股份制企业
         
          20-99人
         
          客运服务
        "
app推广专员 保底9000+,"
          1.1-1.7万
        ",线下,线下,"
          经验不限
        ","
          学历不限
        ",温州·平阳县·鳌江镇,"
          叮咚买菜
        ","
          上市公司
         
          10000人以上
         
          互联网
        "
TikTok海外社媒推广（双休）,"
          9000-15000元
        ","欧洲
美国
海外社交媒体投放
TIK TOK
INSTAGRAM
YOUTUBE",欧洲,"
          经验不限
        ","
          本科
        ",杭州·滨江·西兴,"
          杭州夏歌信息技术服务有限公司
        ","
          民营
         
          1000-9999人
         
          电子商务
        "
信息流广告投放,"
          5000-10000元
        ",信息流推广,信息流推广,"
          1-3年
        ","
          本科
        ",合肥·蜀山·南岗,"
          合肥任达人力资源有限公司
        "," 
          100-299人
         
          专业技术服务
        "
天猫推广投手 爆款投放 关键词/人群优化,"
          5000-7000元
        ","淘宝/天猫
店长
文化行业（图书期刊类目）
站内推广
直通车优化",淘宝/天猫,"
          经验不限
        ","
          本科
        ",石家庄·鹿泉·上庄,"
          石家庄牧狼人商贸有限公司
        ","
          民营
         
          100-299人
         
          电子商务
        "
新媒体投放专员,"
          1-1.5万
        ",媒介,媒介,"
          1-3年
        ","
          本科
        ",杭州·钱塘·白杨,"
          新东方教育科技集团有限公司
        ","
          上市公司
         
          10000人以上
         
          培训/辅导服务
        "
信息流广告投放专员,"
          1-1.3万
        ","巨量引擎
表单投放",巨量引擎,"
          1-3年
        ","
          大专
        ",厦门·思明·莲前,"
          厦门歆澄跨境贸易有限公司
        "," 
          100-299人
         
          电子商务
        "
小红书推广专家,"
          1.1-1.5万
        ",,,"
          1-3年
        ","
          本科
        ",南京·玄武·玄武湖,"
          南京四季物语生物科技有限公司
        ","
          民营
         
          500-999人
         
          电子商务
        "
信息流投放运营,"
          8000-16000元
        ","广点通
巨量引擎
快手
快应用
IAA",广点通,"
          1-3年
        ","
          大专
        ",厦门·思明·莲前,"
          厦门掌上易购网络科技有限公司
        ","
          其它
         
          20-99人
         
          电子商务
        "
海外投放推广专员,"
          1-1.5万
        ",,,"
          1-3年
        ","
          本科
        ",合肥·包河·淝河,"
          合肥合傲科技有限公司
        ","
          股份制企业
         
          20-99人
         
          医疗设备/器械
        "
招聘社区推广员外向社牛就可以8000-16000,"
          9000-16000元
        ","线下
信息流投放经验
推广经验
平台类产品",线下,"
          经验不限
        ","
          学历不限
        ",宁波·海曙·段塘,"
          杭州五点半人力资源开发有限公司
        ","
          民营
         
          100-299人
         
          人力资源服务
        "
广告推广专员-深圳(J27220),"
          8000-12000元
        ","企业客户
个人客户
电话销售
网络销售
会议/会展销售",企业客户,"
          经验不限
        ","
          大专
        ",深圳·罗湖·笋岗,"
          北京五八信息技术有限公司
        ","
          合资
         
          10000人以上
         
          互联网
        "
抖音信息流投放,"
          8000-12000元
        ","巨量AD
千川
种草",巨量AD,"
          1-3年
        ","
          大专
        ",上海·静安·天目西路,"
          江西萌力互动科技有限公司
        ","
          民营
         
          100-299人
         
          互联网
        "
投放产品实习生,"
          面议
        ",,,"
          经验不限
        ","
          本科
        ",北京,"
          北京三快在线科技有限公司
        ","
          上市公司
         
          10000人以上
         
          互联网
        "
京东BD推广/五险一金+就近分配,"
          8000-16000元
        ","线下
线上
C端客户
五险一金
老带薪
可就近安排",线下,"
          经验不限
        ","
          学历不限
        ",北京·朝阳·垡头,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
广告投放,"
          8000-15000元
        ","媒介主管/经理
媒介总监
网络媒体
行业协会",媒介主管/经理,"
          1-3年
        ","
          大专
        ",北京·大兴,"
          石家庄北方医学中等专业学校
        ","
          学校/下级学院
         
          1000-9999人
         
          学校/学历教育
        "
百度推广,"
          8000-16000元
        ","百度系
SEM
百度推广",百度系,"
          1-3年
        ","
          大专
        ",南京·高淳·古柏,"
          江苏高捷节能装备集团有限公司
        ","
          民营
         
          100-299人
         
          化工
        "
海外投放【游戏】,"
          8000-15000元·13薪
        ","TikTok
海外推广
Google
Facebook",TikTok,"
          1年以下
        ","
          大专
        ",武汉·洪山·关山,"
          北京悠洛网络技术有限公司
        ","
          民营
         
          20-99人
         
          互联网
        "
产品运营/软文推广,"
          5000-6000元
        ","品牌推广
品牌营销
新媒体媒介",品牌推广,"
          1-3年
        ","
          大专
        ",西安·未央·张家堡,"
          西安百跃纽贝能素乳品营销有限责任公司
        ","
          民营
         
          500-999人
         
          贸易/进出口
        "
春招朴朴管培推广BD【保底/晋升快可盖章】,"
          1-1.2万
        ","面销
线下
C端客户
接受外勤",面销,"
          经验不限
        ","
          大专
        ",福州·台江·瀛洲,"
          福州朴朴电子商务有限公司
        ","
          民营
         
          10000人以上
         
          互联网
        "
海外优化师/广告协调/广告投放/推广+五险一金+双地铁,"
          5000-10000元
        ","TIKTOK
facebook
google
跨境电商
海外电商",TIKTOK,"
          1-3年
        ","
          大专
        ",西安·雁塔·丈八沟,"
          西安丹骏数字科技有限公司
        ","
          上市公司
         
          100-299人
         
          电子商务
        "
推广运营岗--云腾科技公司,"
          1-1.5万
        ",信息流推广,信息流推广,"
          1-3年
        ","
          本科
        ",广州·白云·鹤龙,"
          广州白云产业投资集团有限公司
        ","
          国企
         
          500-999人
         
          租赁服务
        "
抖音广告投放专员,"
          30-50元/时
        ",,,"
          经验不限
        ","
          学历不限
        ",太原·小店·平阳路,"
          四川华青志传媒有限公司
        ","
          民营
         
          20-99人
         
          社交网络
        "
sem推广专员,"
          1.1-1.8万
        ","搜索引擎推广
信息流推广",搜索引擎推广,"
          1-3年
        ","
          大专
        ",深圳·南山·粤海,"
          爱思助手
        ","
          上市公司
         
          100-299人
         
          计算机软件
        "
千川投放,"
          1-1.2万
        ",,,"
          1-3年
        ","
          大专
        ",杭州·西湖·蒋村,"
          中职北方智扬
        ","
          合资
         
          1000-9999人
         
          学校/学历教育
        "
网络推广seo/sem,"
          6000-8000元
        ",,,"
          1-3年
        ","
          大专
        ",保定·清苑·清苑镇,"
          北京时代新维测控设备有限公司
        ","
          民营
         
          20-99人
         
          仪器仪表制造
        "
红人社媒推广,"
          8000-15000元
        ","电商推广
网站推广",电商推广,"
          1-3年
        ","
          大专
        ",许昌·魏都区·半截河街道,"
          许昌罗依斯发制品有限公司
        ","
          其它
         
          100-299人
         
          贸易/进出口
        "
产品推广专员,"
          1-1.5万·13薪
        ",,,"
          1-3年
        ","
          本科
        ",深圳·南山·西丽,"
          TCL科技集团股份有限公司
        ","
          合资
         
          10000人以上
         
          耐用消费品
        "
广告投放专员,"
          8000-16000元
        ","facebook
TIKTOK",facebook,"
          1-3年
        ","
          大专
        ",重庆·渝北,"
          重庆数海星辰网络科技有限公司
        ","
          民营
         
          20-99人
         
          电子商务
        "
小红书投手—信息流优化师、投放、网络推广,"
          1.4-1.6万·14薪
        ",,,"
          1-3年
        ","
          本科
        ",深圳·南山·沙河,"
          深圳旷真法务集团有限公司
        ","
          律师事务所
         
          1000-9999人
         
          法律服务
        "
巨量广告推广专员,"
          5000-7000元
        ","媒介专员
网络媒体
巨量引擎广告投放
数据分析与优化",媒介专员,"
          1-3年
        ","
          大专
        ",潍坊·潍城·于河,"
          潍坊市威力工贸有限责任公司
        ","
          民营
         
          20-99人
         
          建筑设备安装
        "
app推广专员8000-1.6W,"
          1.1-2.2万
        ","新媒体推广经验
线下
B端客户
社区类产品",新媒体推广经验,"
          经验不限
        ","
          学历不限
        ",宁波·海曙·段塘,"
          杭州五点半人力资源开发有限公司
        ","
          民营
         
          100-299人
         
          人力资源服务
        "
微信推广,"
          8000-10000元
        ",,,"
          经验不限
        ","
          本科
        ",重庆·渝中·解放碑,"
          作业帮
        ","
          民营
         
          10000人以上
         
          互联网
        "
抖音达人运营专员,"
          8000-11000元
        ","KOL/MCN资源
效果投放经验
C端用户
消费品
媒介投放
达人BD
内容策划
推广投放
本地生活",KOL/MCN资源,"
          1-3年
        ","
          大专
        ",广州·天河·天河南,"
          广州昌邻餐饮管理有限公司
        ","
          民营
         
          300-499人
         
          餐饮服务
        "
广告投放经理,"
          8000-11000元
        ","媒介助理
媒介主管/经理
网络媒体
KOL
传统媒体",媒介助理,"
          1-3年
        ","
          本科
        ",西安·雁塔·丈八沟,"
          西安力邦临床营养股份有限公司
        ","
          民营
         
          100-299人
         
          食品/饮料
        "
京东BD推广/五险一金+就近分配,"
          8000-16000元
        ","线下
线上
C端客户
五险一金
老带薪
可就近安排",线下,"
          经验不限
        ","
          学历不限
        ",北京·丰台·五里店,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
效果广告投放优化岗（CID & 闭环广告方向）,"
          8000-10000元·14薪
        ","广点通
CID信息流优化师
CID",广点通,"
          1-3年
        ","
          本科
        ",杭州·西湖·转塘,"
          外企德科
        ","
          合资
         
          10000人以上
         
          人力资源服务
        "
企业微信推广员,"
          9000-18000元
        ","企业客户
KA大客户
政府客户",企业客户,"
          1-3年
        ","
          本科
        ",宁波·鄞州·首南,"
          宁波有道网络技术有限公司
        ","
          民营
         
          100-299人
         
          IT服务
        "
（厦门）信息流推广专员-中老年兴趣类,"
          9000-15000元
        ",,,"
          1-3年
        ","
          大专
        ",北京·朝阳,"
          哈德(厦门)教育科技集团有限公司
        ","
          民营
         
          500-999人
         
          培训/辅导服务
        "
小红书投流推广/运营/投手/优化师（商销方向）6-10K+五险,"
          9000-18000元
        ","乙方经验
小红书商销投流
商销种草
投流推广
小红书信息流优化师
小红书运营",乙方经验,"
          1-3年
        ","
          大专
        ",郑州·中原·石佛,"
          河南品效互动网络科技有限公司
        ","
          民营
         
          20-99人
         
          计算机软件
        "
抖音信息流投放专员（农资水产类目）,"
          8000-12000元
        ","抖音
有农资经验
水产动保经验",抖音,"
          1-3年
        ","
          大专
        ",郑州·金水·国基路,"
          郑州渔可盛生物科技有限公司
        ","
          股份制企业
         
          100-299人
         
          农/林/牧/渔
        "
投放专员,"
          3000-5000元
        ",,,"
          经验不限
        ","
          本科
        ",秦皇岛·海港区·黄河道街道,"
          秦皇岛中和智迅科技发展有限公司
        ","
          股份制企业
         
          20-99人
         
          互联网
        "
电商投手,"
          8000-16000元
        ",,,"
          1-3年
        ","
          大专
        ",长春·南关·新立城,"
          吉林省闯天下文化传媒有限公司
        ","
          其它
         
          500-999人
         
          电子商务
        "
兼职支付宝碰一碰推广[日薪300＋分润],"
          8000-16000元
        ",,,"
          经验不限
        ","
          大专
        ",天津·河东·上杭路,"
          天津市百川惠赢信息技术咨询服务有限公司
        ","
          民营
         
          20人以下
         
          咨询服务
        "
app推广专员 保底9000+,"
          1.1-1.7万
        ",线下,线下,"
          经验不限
        ","
          学历不限
        ",温州·瑞安市·塘下镇,"
          叮咚买菜
        ","
          上市公司
         
          10000人以上
         
          互联网
        "
抖音巨量引擎小红书聚光推广专员,"
          8000-16000元
        ","搜索引擎推广
巨量引擎小红书聚光
抖音小红书百度",搜索引擎推广,"
          1-3年
        ","
          学历不限
        ",杭州·上城·丁兰,"
          杭州医枢信息咨询服务有限公司
        ","
          民营
         
          20人以下
         
          在线医疗
        "
数字化微信小店推广达人和城市经理人,"
          8000-16000元
        ",,,"
          经验不限
        ","
          学历不限
        ",深圳·龙岗·坂田,"
          深圳市龙岗区柠度信息咨询工作室(个体工商户)
        "," 
          100-299人
         
          互联网
        "
app推广专员,"
          1.2-2.4万
        ",,,"
          1-3年
        ","
          学历不限
        ",宿迁·沭阳县·南湖街道,"
          美团网
        ","
          民营
         
          1000-9999人
         
          互联网
        "
Facebook推广,"
          1.2-1.6万
        ",新媒体推广,新媒体推广,"
          1-3年
        ","
          大专
        ",深圳·南山·粤海,"
          广州鸿誉出国服务有限公司
        ","
          其它
         
          20-99人
         
          企业服务
        "
新东方-抖音巨量投放,"
          1-1.5万
        ","抖音
巨量引擎",抖音,"
          1年以下
        ","
          本科
        ",济南·历下·千佛山,"
          新东方教育科技集团有限公司
        ","
          上市公司
         
          10000人以上
         
          培训/辅导服务
        "
传播推广岗（政企合作方向）,"
          8000-12000元
        ","政府客户
市场策划经验
本地推广资源
团队管理经验
接受出差/外派",政府客户,"
          经验不限
        ","
          本科
        ",北京·海淀·甘家口,"
          央视国际网络有限公司
        ","
          国企
         
          1000-9999人
         
          互联网
        "
海外投放优化师,"
          1.2-2万
        ","媒介助理
汽车类媒体
网络媒体",媒介助理,"
          1-3年
        ","
          学历不限
        ",北京·大兴,"
          呼和浩特市智能工科中等职业学校有限公司
        ","
          民营
         
          1000-9999人
         
          学校/学历教育
        "
电商投放专员,"
          6000-10000元
        ","电商推广
facebook
谷歌优化师
TT投流",电商推广,"
          1年以下
        ","
          大专
        ",西安·雁塔·丈八沟,"
          西安丹骏数字科技有限公司
        ","
          上市公司
         
          100-299人
         
          电子商务
        "
网络推广,"
          1-2万
        ","信息流推广
搜索引擎推广
新媒体推广
电商推广",信息流推广,"
          经验不限
        ","
          学历不限
        ",济南·堤口路,"
          济南白癜风医院
        ","
          民营
         
          100-299人
         
          医药制造
        "
月薪上万招信用卡推广,"
          1-2万
        ","渠道销售
地推销售",渠道销售,"
          经验不限
        ","
          大专
        ",绵阳·涪城区·城厢街道,"
          招商银行绵阳分行
        ","
          股份制企业
         
          100-299人
         
          银行
        "
推广专员（陕西）,"
          1-1.5万
        ",心血管科,心血管科,"
          1-3年
        ","
          本科
        ",西安·雁塔·小寨路,"
          上海和黄药业
        ","
          合资
         
          1000-9999人
         
          医药制造
        "
五号发薪/京东BD推广可就近分配,"
          9000-18000元
        ","线上
线下
C端客户
平台类产品
首家
老带新
入职五险一金",线上,"
          经验不限
        ","
          学历不限
        ",石家庄·裕华·长江,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
广告投放/腾讯，巨量，百度账户策略管理-互联网大厂,"
          8000-9000元
        ",,,"
          1-3年
        ","
          本科
        ",杭州·西湖·翠苑,"
          外企德科
        ","
          合资
         
          10000人以上
         
          人力资源服务
        "
电商推广专员,"
          8000-15000元
        ","电商推广
搜索引擎推广
网站推广",电商推广,"
          1-3年
        ","
          本科
        ",杭州·拱墅·东新,"
          浙江天昇泰丰医药科技集团有限公司
        ","
          民营
         
          500-999人
         
          医药制造
        "
海外推广专员（Affiliate）,"
          9000-10000元
        ","英文口语
推拉流
流量
网络推广",英文口语,"
          经验不限
        ","
          本科
        ",广州·天河·冼村,"
          讯汇科技
        ","
          外商独资
         
          100-299人
         
          互联网
        "
SEO外贸独立站运营推广,"
          1-1.5万
        ","阿里国际站
搜索引擎推广",阿里国际站,"
          1-3年
        ","
          大专
        ",深圳·宝安·沙井,"
          高安市华显晶显示技术有限公司
        "," 
          500-999人
         
          电子/半导体/集成电路
        "
短剧投放组长,"
          8000-13000元
        ","媒介专员
媒介主管/经理
网络媒体
网盟渠道",媒介专员,"
          1-3年
        ","
          大专
        ",郑州·金水·龙子湖,"
          郑州新阅益文化传媒有限公司
        ","
          其它
         
          500-999人
         
          广播/影视
        "
推广投手,"
          7000-9000元
        ","媒介专员
媒介主管/经理",媒介专员,"
          3-5年
        ","
          大专
        ",青岛·崂山·中韩,"
          青岛抱抱宝贝玩具有限公司
        ","
          民营
         
          100-299人
         
          贸易/进出口
        "
seo推广销售,"
          8000-16000元
        ",搜索引擎推广,搜索引擎推广,"
          经验不限
        ","
          大专
        ",深圳·光明·光明街道,"
          深圳市新葳科技(集团)有限公司
        ","
          民营
         
          100-299人
         
          环保
        "
facebook广告投放,"
          1-1.5万
        ",,,"
          1-3年
        ","
          大专
        ",济南·历下·智远,"
          龙雕智能装备(山东)有限公司
        ","
          民营
         
          500-999人
         
          通用设备制造
        "
品牌推广策划（农业领域）,"
          8000-13000元
        ",新媒体媒介,新媒体媒介,"
          1-3年
        ","
          本科
        ",广州·天河·石牌,"
          健坤网络
        ","
          国企
         
          100-299人
         
          计算机软件
        "
网络推广运营,"
          8000-15000元
        ","新媒体推广
信息流推广
搜索引擎推广",新媒体推广,"
          1-3年
        ","
          大专
        ",武汉·洪山·关山,"
          武汉楚天激光（集团）股份有限公司
        ","
          合资
         
          1000-9999人
         
          通用设备制造
        "
Google广告投放,"
          8000-15000元
        ","跨境电商
google
谷歌
假发
独立站",跨境电商,"
          1-3年
        ","
          本科
        ",郑州·金水·祭城路,"
          许昌罗依斯发制品有限公司
        ","
          其它
         
          100-299人
         
          贸易/进出口
        "
信息流优化师（投放专员）,"
          8000-15000元
        ","投放策略
投放素材
、投放数据
投放效果分析
腾讯广告",投放策略,"
          1-3年
        ","
          本科
        ",广州·白云·同和,"
          枫车创科技(广东)有限公司
        ","
          民营
         
          100-299人
         
          汽车后市场
        "
SEM推广专员,"
          8000-13000元·14薪
        ","甲方公司
信息流投放经验",甲方公司,"
          1-3年
        ","
          本科
        ",杭州·钱塘·白杨,"
          杭州美仪自动化技术股份有限公司
        ","
          民营
         
          500-999人
         
          仪器仪表制造
        "
千川投流（五险一金+福利补贴）,"
          8000-13000元
        ","抖音
千川
直播",抖音,"
          1-3年
        ","
          大专
        ",济南·天桥,"
          山东欣希安药业股份有限公司
        ","
          民营
         
          100-299人
         
          医药制造
        "
海外投放推广专员,"
          1.3-2万
        ","媒介专员
媒介主管/经理",媒介专员,"
          1-3年
        ","
          大专
        ",上海·杨浦·新江湾城,"
          上海永鑫供应链管理有限公司
        ","
          民营
         
          20-99人
         
          贸易/进出口
        "
抖音投放/信息流优化师,"
          8000-15000元
        ","头条系
小红书
抖音",头条系,"
          1-3年
        ","
          本科
        ",成都·武侯·桂溪,"
          美呗
        ","
          民营
         
          500-999人
         
          互联网
        "
高薪诚聘信息流投放经理/五险一金/集团公司,"
          1.5-2万
        ","百度系
百度地图
百度百科
抖音
腾讯系
巨量引擎
今日头条",百度系,"
          经验不限
        ","
          大专
        ",济南·历城·港沟,"
          山东千麒信息科技有限公司
        ","
          民营
         
          300-499人
         
          IT服务
        "
云店运营岗—阅读服务事业部,"
          8000-11000元
        ",云店运营,云店运营,"
          1-3年
        ","
          本科
        ",成都·锦江·柳江,"
          新华文轩
        ","
          国企
         
          1000-9999人
         
          新闻/出版
        "
百度推广运营,"
          1-1.5万
        ","电商推广
搜索引擎推广
信息流推广",电商推广,"
          1-3年
        ","
          大专
        ",佛山·禅城·南庄,"
          广东恒泊智能科技有限公司
        ","
          民营
         
          100-299人
         
          电子商务
        "
海外推广专员,"
          8000-13000元
        ","海外SEO/SEM投放
海外社交媒体投放
流量运营
跨境电商运营",海外SEO/SEM投放,"
          1-3年
        ","
          本科
        ",东莞·塘厦镇,"
          深圳市合利士智能装备有限公司
        ","
          民营
         
          500-999人
         
          电气机械/电力设备
        "
五号发薪/京东BD推广可就近分配,"
          9000-18000元
        ","线上
线下
C端客户
平台类产品
首家
老带新
入职五险一金",线上,"
          经验不限
        ","
          学历不限
        ",石家庄·裕华·裕东,"
          京东集团
        ","
          合资
         
          10000人以上
         
          互联网
        "
1点到！公务员般！运营推广,"
          9000-13000元
        ",,,"
          经验不限
        ","
          本科
        ",重庆·渝中·解放碑,"
          作业帮
        ","
          民营
         
          10000人以上
         
          互联网
        "
达人运营专员（抖音/小红书）,"
          8000-11000元
        ","媒介专员
KOL
网络媒体
乙方经验
甲方经验
达人BD
内容策划
推广投放
本地生活",媒介专员,"
          1-3年
        ","
          大专
        ",广州·天河·天河南,"
          广州昌邻餐饮管理有限公司
        ","
          民营
         
          300-499人
         
          餐饮服务
        "
市场推广专员（公众号运营方向）,"
          1-2万
        ","公众号
展会
光学行业经验",公众号,"
          1-3年
        ","
          本科
        ",上海·闵行·吴泾,"
          杭州爱鸥光学科技有限公司
        ","
          民营
         
          20-99人
         
          专用设备制造
        "
游戏推广,"
          1-2万
        ",,,"
          经验不限
        ","
          学历不限
        ",沧州·运河区·小王庄镇,"
          河北科莫多网络科技有限公司
        ","
          民营
         
          20-99人
         
          互联网
        "
SEM推广专员,"
          8000-10000元
        ",搜索引擎推广,搜索引擎推广,"
          1-3年
        ","
          大专
        ",济南·天桥·北坦,"
          济南药王传中医医院有限公司
        ","
          医院
         
          100-299人
         
          医院
        "
广告投放专员（游戏/电商）,"
          8000-13000元
        ","乙方经验
信息流优化师",乙方经验,"
          1-3年
        ","
          本科
        ",上海·嘉定·南翔,"
          上海芦鸣网络科技有限公司成都分公司
        "," 
          100-299人
         
          互联网
        "
广告投放专员(J25155),"
          8000-10000元
        ","媒介专员
广告投放
新媒体平台
投放策略
品牌活动投放",媒介专员,"
          1-3年
        ","
          本科
        ",上海·闵行·虹桥,"
          旺旺集团
        ","
          上市公司
         
          10000人以上
         
          快速消费品
        "
