数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
业务运营.csv,天津西瓜旅游有限责任公司,正编美团酒店业务7-12k无责第双休六险一金,7000-12000元·13薪,7583.33,13000.0,10291.67,电商平台、旅游平台、社会服务平台、商家运营、数据运营、销售运营,电商平台,经验不限,大专,茂名·茂南区·站前街道,茂名·茂南区·站前街道,茂名,茂南区,站前街道,民营,1000-9999人,互联网
业务运营.csv,天津南开允公集团有限公司,商务运营 / 同城业务拓展 / 达人合作,5000-6000元,5000.0,6000.0,5500.0,未知,未知,1-3年,本科,天津·西青·西营门,天津·西青·西营门,天津,西青,西营门,股份制企业,100-299人,房地产开发
业务运营.csv,外企德科,销售运营专员（英语口语流利）,1.1-1.2万·13薪,11916.67,13000.0,12458.33,专员、toB、会销、售前支持,专员,1-3年,本科,上海·浦东·北蔡,上海·浦东·北蔡,上海,浦东,北蔡,合资,100-299人,人力资源服务
业务运营.csv,腾讯瑞德铭(重庆)科技发展有限公司,业务运营管培生-腾讯运营子公司XA（合肥）,8000-10000元,8000.0,10000.0,9000.0,团队管理,团队管理,经验不限,本科,合肥·蜀山·南岗,合肥·蜀山·南岗,合肥,蜀山,南岗,上市公司,10000人以上,互联网
业务运营.csv,四川省文化大数据有限责任公司,业务运营岗,6000-10000元,6000.0,10000.0,8000.0,数据运营,数据运营,3-5年,本科,成都·武侯·桂溪,成都·武侯·桂溪,成都,武侯,桂溪,国企,20-99人,云计算/大数据
业务运营.csv,鑫懿(沈阳)科技有限公司,业务经理,4000-8000元,4000.0,8000.0,6000.0,京东外卖,京东外卖,经验不限,大专,沈阳·浑南·五三,沈阳·浑南·五三,沈阳,浑南,五三,其它,20人以下,在线生活服务（O2O）
业务运营.csv,武汉楚信一部企业管理有限公司,目前非常差人 扩招~ 业务7000+销售运营,6000-12000元·13薪,6500.0,13000.0,9750.0,电话销售,电话销售,经验不限,学历不限,洛阳·西工·唐宫路,洛阳·西工·唐宫路,洛阳,西工,唐宫路,银行,100-299人,银行
业务运营.csv,圆通速递有限公司,圆通物流新锐生——上海包吃住,7000-8000元,7000.0,8000.0,7500.0,未知,未知,经验不限,本科,苏州·常熟·东南,苏州·常熟·东南,苏州,常熟,东南,上市公司,10000人以上,邮政/快递
业务运营.csv,杭州海康威视数字技术股份有限公司,安徽业务中心-新媒体运营专员-合肥,1-1.5万,10000.0,15000.0,12500.0,未知,未知,1年以下,本科,合肥·高新区,合肥·高新区,合肥,高新区,未知,上市公司,10000人以上,人工智能
业务运营.csv,扬州橙子网络科技有限公司,运营主管（业务中台方向）,8000-15000元,8000.0,15000.0,11500.0,toB,toB,5-10年,本科,扬州·广陵区·湾头镇,扬州·广陵区·湾头镇,扬州,广陵区,湾头镇,民营,20-99人,互联网
业务运营.csv,厦门建发国际酒业集团有限公司,跨境电商业务岗（国企/六险二金/双休）,8000-12000元·16薪,10666.67,16000.0,13333.33,海外供应商开发、进口、保健品、英语、奢侈品、箱包、香水,海外供应商开发,3-5年,本科,厦门·湖里·湖里,厦门·湖里·湖里,厦门,湖里,湖里,国企,500-999人,快速消费品
业务运营.csv,济南通华电子技术有限公司,业务运营专员,5000-8000元,5000.0,8000.0,6500.0,产品运营,产品运营,3-5年,本科,济南·市中·十六里河,济南·市中·十六里河,济南,市中,十六里河,股份制企业,20-99人,计算机软件
业务运营.csv,中国平安财产保险股份有限公司温州分公司,数据分析岗/数据运营,6000-9000元,6000.0,9000.0,7500.0,经营数据分析、市场数据分析,经营数据分析,经验不限,本科,温州·鹿城区·大南街道,温州·鹿城区·大南街道,温州,鹿城区,大南街道,股份制企业,100-299人,保险
业务运营.csv,广西飞鹰通讯设备有限公司,中国移动运营助理,4000-8000元,4000.0,8000.0,6000.0,未知,未知,经验不限,学历不限,钦州·钦北区·子材街道,钦州·钦北区·子材街道,钦州,钦北区,子材街道,民营,1000-9999人,咨询服务
业务运营.csv,武汉铁锚焊接材料股份有限公司,国企外贸运营,8000-12000元,8000.0,12000.0,10000.0,海外推广、精品运营,海外推广,经验不限,本科,武汉·青山·武东,武汉·青山·武东,武汉,青山,武东,股份制企业,500-999人,船舶/航空/航天/火车制造
业务运营.csv,山西三立期货有限公司,个人IP业务岗（新媒体运营与客户开发）,5000-10000元,5000.0,10000.0,7500.0,未知,未知,经验不限,本科,太原·万柏林·长风西街,太原·万柏林·长风西街,太原,万柏林,长风西街,民营,100-299人,证券/期货
业务运营.csv,南银法巴消费金融有限公司,业务管理岗（石家庄）,6000-12000元,6000.0,12000.0,9000.0,数据分析、业绩追踪,数据分析,1-3年,本科,石家庄·长安·建安,石家庄·长安·建安,石家庄,长安,建安,其它,1000-9999人,银行
业务运营.csv,中铁物资集团华南有限公司,循环物资业务平台运营新媒体运营岗,8000-16000元,8000.0,16000.0,12000.0,未知,未知,1-3年,本科,广州·南沙·黄阁,广州·南沙·黄阁,广州,南沙,黄阁,国企,100-299人,客运服务
业务运营.csv,兰州中信贸易有限责任公司,母婴店业务运营经理,5000-10000元,5000.0,10000.0,7500.0,销售运营、产品运营、用户运营,销售运营,3-5年,大专,兰州·七里河区·西湖街道,兰州·七里河区·西湖街道,兰州,七里河区,西湖街道,民营,100-299人,零售/批发
业务运营.csv,中南国际服务外包(深圳)有限公司,营销数据分析岗 双休 餐厅,8000-10000元,8000.0,10000.0,9000.0,Sql、BI工具、数据分析,Sql,经验不限,本科,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,民营,300-499人,人力资源服务
业务运营.csv,光华数科(北京)科技有限公司,保险业务运营主管,1.2-2万,12000.0,20000.0,16000.0,销售运营,销售运营,5-10年,本科,北京·丰台·太平桥,北京·丰台·太平桥,北京,丰台,太平桥,民营,100-299人,保险
业务运营.csv,库课科技集团股份有限公司,业务活动运营专员,4000-7000元,4000.0,7000.0,5500.0,销售运营、活动运营、销售策略运营、线下活动、线上活动、C端用户,销售运营,1-3年,本科,成都·成华·二仙桥,成都·成华·二仙桥,成都,成华,二仙桥,股份制企业,1000-9999人,培训/辅导服务
业务运营.csv,长安期货有限公司陕西分公司,业务运营岗,6000-12000元,6000.0,12000.0,9000.0,KA大客户、企业客户、机构客户、渠道销售、期货从业资格证,KA大客户,经验不限,本科,西安·雁塔·长延堡,西安·雁塔·长延堡,西安,雁塔,长延堡,国企,300-499人,证券/期货
业务运营.csv,成都大橡来了科技有限公司,业务运营助理（成都）,4000-5000元,4000.0,5000.0,4500.0,电商运营、产品运营、酒店运营、酒店产品、互联网产品、商旅产品、阿里商旅、同程商旅、携程商旅、酒店前厅经验、酒店销售经验、OTA工作经验,电商运营,1-3年,大专,成都·锦江·东湖,成都·锦江·东湖,成都,锦江,东湖,民营,20-99人,电子商务
业务运营.csv,海澜集团,电商直播运营,5000-8000元,5000.0,8000.0,6500.0,抖音、淘宝、天猫、直播后台运营数据、直播活动内容策划、直播业务运营,抖音,经验不限,本科,无锡·江阴·新桥,无锡·江阴·新桥,无锡,江阴,新桥,民营,10000人以上,服装/纺织/皮革
业务运营.csv,青岛海狸先生网络科技有限公司,海外业务运营经理,1-1.5万,10000.0,15000.0,12500.0,销售运营、数据运营、商家运营、toB、toC,销售运营,经验不限,本科,青岛·城阳·上马,青岛·城阳·上马,青岛,城阳,上马,民营,100-299人,互联网
业务运营.csv,中船重工物资贸易集团鞍山有限公司,经营业务员,3000-5000元,3000.0,5000.0,4000.0,未知,未知,3-5年,大专,鞍山·铁西区·达道湾街道,鞍山·铁西区·达道湾街道,鞍山,铁西区,达道湾街道,20-99人,钢铁/有色金属冶炼及加工,未知
业务运营.csv,圆通速递有限公司,圆通物流新锐生——上海包吃住,7000-8000元,7000.0,8000.0,7500.0,未知,未知,经验不限,本科,嘉兴·桐乡市·乌镇镇,嘉兴·桐乡市·乌镇镇,嘉兴,桐乡市,乌镇镇,上市公司,10000人以上,邮政/快递
业务运营.csv,贵州麟洲跨境贸易有限公司,跨境电商业务员,6000-12000元,6000.0,12000.0,9000.0,TikTok、海外推广,TikTok,经验不限,大专,贵阳,贵阳,贵阳,未知,未知,民营,20-99人,贸易/进出口
业务运营.csv,宜栩化妆品供应链(广州)有限公司,1688运营业务,9000-14000元,9000.0,14000.0,11500.0,1688、店长、1688业务员、化妆品1688运营,1688,1-3年,大专,广州·白云·石井,广州·白云·石井,广州,白云,石井,民营,20-99人,日化
业务运营.csv,北京三快在线科技有限公司,无人车业务部-业务运营专家,面议,未知,未知,未知,未知,未知,3-5年,本科,北京·朝阳·东湖,北京·朝阳·东湖,北京,朝阳,东湖,上市公司,10000人以上,互联网
业务运营.csv,福州奇拓电子有限公司,业务运营,7000-10000元,7000.0,10000.0,8500.0,产品运营、营销策划、活动策划、用户增长,产品运营,3-5年,大专,福州·鼓楼·五凤,福州·鼓楼·五凤,福州,鼓楼,五凤,民营,20人以下,IT服务
业务运营.csv,中都数科供应链管理有限公司,物流规划（应届生）,5000-8000元·14薪,5833.33,9333.33,7583.33,五险一金、周末双休、交通补助、餐补、年终奖、公路运输,五险一金,经验不限,本科,常州·新北·罗溪,常州·新北·罗溪,常州,新北,罗溪,国企,1000-9999人,货运/物流/仓储
业务运营.csv,字节跳动,体验策略运营-商业生态与安全,1.2-2.4万,12000.0,24000.0,18000.0,未知,未知,经验不限,本科,成都,成都,成都,未知,未知,民营,10000人以上,互联网
业务运营.csv,中电金信软件有限公司,业务运营专员,8000-9000元,8000.0,9000.0,8500.0,toB、立项流程管理、结算管理、日语二级,toB,3-5年,本科,大连·甘井子·凌水,大连·甘井子·凌水,大连,甘井子,凌水,国企,10000人以上,计算机软件
业务运营.csv,旺旺集团,旺旺B2B业务专员,7000-9000元,7000.0,9000.0,8000.0,小B、商家销售支持、B2B业务经验、快消行业渠道运营,小B,1-3年,大专,西安·雁塔·电子城,西安·雁塔·电子城,西安,雁塔,电子城,上市公司,10000人以上,快速消费品
业务运营.csv,河北彩鑫网络科技有限公司,市场业务负责人,4000-6000元,4000.0,6000.0,5000.0,业务员、商家BD,业务员,经验不限,学历不限,邯郸·丛台区·和平街道,邯郸·丛台区·和平街道,邯郸,丛台区,和平街道,民营,1000-9999人,餐饮服务
业务运营.csv,贵州彩数网络技术有限公司,运营专员（物联网）,6000-8000元,6000.0,8000.0,7000.0,产品运营、用户运营,产品运营,1-3年,本科,贵阳·观山湖·长岭,贵阳·观山湖·长岭,贵阳,观山湖,长岭,民营,100-299人,计算机软件
业务运营.csv,中国太平洋人寿保险股份有限公司,业务推动岗,5000-10000元,5000.0,10000.0,7500.0,未知,未知,经验不限,本科,贵阳·观山湖·长岭,贵阳·观山湖·长岭,贵阳,观山湖,长岭,国企,10000人以上,保险
业务运营.csv,广东博达科技有限公司,销售运营（坦桑尼亚）,2.5-3万·14薪,29166.67,35000.0,32083.33,未知,未知,经验不限,本科,广州·越秀·北京街道,广州·越秀·北京街道,广州,越秀,北京街道,民营,1000-9999人,贸易/进出口
业务运营.csv,中标华信(北京)认证中心有限公司,业务运营主管,1-1.2万,10000.0,12000.0,11000.0,未知,未知,1-3年,本科,北京·石景山·老山,北京·石景山·老山,北京,石景山,老山,民营,100-299人,检测/认证
业务运营.csv,伊利,成人营养品保健品业务单元京东电商运营经理,1.2-1.8万,12000.0,18000.0,15000.0,京东,京东,经验不限,大专,北京·丰台·看丹,北京·丰台·看丹,北京,丰台,看丹,股份制企业,10000人以上,快速消费品
业务运营.csv,河南中信科大数据科技有限公司,高新区在线打字客服（双休+业务咨询回复+运营）,4000-6000元,4000.0,6000.0,5000.0,售前客服、全白班、VIP客服,售前客服,经验不限,大专,郑州·中原·石佛,郑州·中原·石佛,郑州,中原,石佛,民营,100-299人,IT服务
业务运营.csv,济南财智谷企业管理咨询有限公司,加油加气站业务运营负责人,3-4万,30000.0,40000.0,35000.0,未知,未知,5-10年,大专,酒泉·玉门市·玉门镇,酒泉·玉门市·玉门镇,酒泉,玉门市,玉门镇,20-99人,咨询服务,未知
业务运营.csv,拼多多,社区业务片区网管运营,1-2万,10000.0,20000.0,15000.0,零担运输、道路运输、加盟商管理,零担运输,经验不限,学历不限,温州·乐清市·蒲岐镇,温州·乐清市·蒲岐镇,温州,乐清市,蒲岐镇,民营,1000-9999人,互联网
业务运营.csv,吉安吉州区悦云创信息咨询有限公司,数据运营专员,5000-10000元,5000.0,10000.0,7500.0,经营数据分析、市场数据分析、数据采集、业务流程优化、管理层汇报,经营数据分析,经验不限,大专,武汉·洪山·关山,武汉·洪山·关山,武汉,洪山,关山,20-99人,计算机软件,未知
业务运营.csv,廊坊腾益行汽车贸易有限公司,集团租车业务运营经理,5000-7000元,5000.0,7000.0,6000.0,未知,未知,3-5年,大专,廊坊·广阳区·新开路街道,廊坊·广阳区·新开路街道,廊坊,广阳区,新开路街道,20-99人,汽车4S店/经销商,未知
业务运营.csv,圆通速递有限公司,圆通精彩计划·营运管培生 往届接收,7000-12000元,7000.0,12000.0,9500.0,C1驾驶证、英语四级,C1驾驶证,经验不限,本科,乌鲁木齐·新市区·二工乡,乌鲁木齐·新市区·二工乡,乌鲁木齐,新市区,二工乡,上市公司,10000人以上,邮政/快递
业务运营.csv,浪潮集团,业务运营,7000-9000元,7000.0,9000.0,8000.0,视频类、文本类、娱乐类、微信公众号、抖音、中国移动,视频类,3-5年,大专,南京·建邺·沙洲,南京·建邺·沙洲,南京,建邺,沙洲,国企,10000人以上,IT服务
业务运营.csv,河北鲲鹏智航科技有限公司,外贸运营业务员,4000-8000元,4000.0,8000.0,6000.0,管理经验、TikTok,管理经验,1-3年,大专,石家庄·裕华·建通,石家庄·裕华·建通,石家庄,裕华,建通,20人以下,电子商务,未知
业务运营.csv,盐城扶摇网络科技有限公司,淘宝闪购业务员,5000-10000元·13薪,5416.67,10833.33,8125.0,外卖、商家BD、商家日常服务,外卖,1-3年,大专,南通·如皋·如城,南通·如皋·如城,南通,如皋,如城,民营,1000-9999人,互联网
业务运营.csv,洛阳凡品电子商务有限公司,亚马逊运营（五险一金）,5000-10000元,5000.0,10000.0,7500.0,英语、亚马逊运营、店铺运营,英语,经验不限,大专,洛阳·洛龙·太康东路,洛阳·洛龙·太康东路,洛阳,洛龙,太康东路,民营,100-299人,电子商务
业务运营.csv,和谐健康保险股份有限公司,业务管理专员,5000-7000元,5000.0,7000.0,6000.0,内勤,内勤,经验不限,本科,杭州·西湖·灵隐,杭州·西湖·灵隐,杭州,西湖,灵隐,民营,1000-9999人,保险
业务运营.csv,南京索博工具有限公司,亚马逊运营专员,8000-10000元,8000.0,10000.0,9000.0,亚马逊,亚马逊,经验不限,大专,徐州·邳州市·运河街道,徐州·邳州市·运河街道,徐州,邳州市,运河街道,其它,500-999人,互联网
业务运营.csv,纳龙健康科技股份有限公司,业务运营主管,8000-12000元,8000.0,12000.0,10000.0,主管、医药代表,主管,3-5年,本科,厦门·思明·莲前,厦门·思明·莲前,厦门,思明,莲前,民营,500-999人,计算机软件
业务运营.csv,深圳市金鹏源辐照技术有限公司,生产运营部业务专员（央企）,1.1-1.4万,11000.0,14000.0,12500.0,央企、上市公司,央企,经验不限,硕士,深圳·罗湖·东晓,深圳·罗湖·东晓,深圳,罗湖,东晓,国企,100-299人,金属制品业
业务运营.csv,健合(中国)有限公司,电商业务高级经理-唯品&京东健康9143,2.8-3.5万,28000.0,35000.0,31500.0,京东,京东,经验不限,本科,北京·大兴·荣华街道,北京·大兴·荣华街道,北京,大兴,荣华街道,上市公司,1000-9999人,快速消费品
业务运营.csv,中和农信农业集团有限公司,业务运营（农业+五险一金）,8000-10000元·13薪,8666.67,10833.33,9750.0,销售运营、toC,销售运营,5-10年,大专,石家庄·正定·正定镇,石家庄·正定·正定镇,石家庄,正定,正定镇,外商独资,1000-9999人,农/林/牧/渔
业务运营.csv,天虹股份,线上业务部总监/副总监,2.5-5万,25000.0,50000.0,37500.0,用户运营、活动运营,用户运营,经验不限,本科,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,国企,10000人以上,零售/批发
业务运营.csv,武汉市匆匆那年教育科技有限公司,小红书运营,28元/时,4928.0,4928.0,4928.0,未知,未知,经验不限,学历不限,深圳·南山·粤海,深圳·南山·粤海,深圳,南山,粤海,20人以下,未知,未知
业务运营.csv,上海威田资产管理有限公司,运营专员（创新业务岗）,6000-8000元,6000.0,8000.0,7000.0,用户运营,用户运营,1-3年,大专,太原·小店·北营,太原·小店·北营,太原,小店,北营,民营,500-999人,汽车金融
业务运营.csv,浙江星星优品网络科技有限公司,电商业务运营,4000-6000元,4000.0,6000.0,5000.0,淘宝/天猫、京东,淘宝/天猫,1-3年,本科,台州·椒江区·洪家街道,台州·椒江区·洪家街道,台州,椒江区,洪家街道,民营,100-299人,互联网
业务运营.csv,伊利,伊利2026届校招-销售专训生（奶酪B2B南昌）,6000-8000元,6000.0,8000.0,7000.0,渠道销售、代理商销售、toB,渠道销售,经验不限,本科,南昌·东湖·董家窑,南昌·东湖·董家窑,南昌,东湖,董家窑,股份制企业,10000人以上,快速消费品
业务运营.csv,洛阳摩达家具有限公司,数据分析师（电商行业从业经验1年以上）,8000-12000元,8000.0,12000.0,10000.0,数据挖掘、数据建模、SPSS、Sql、Python,数据挖掘,1年以下,本科,洛阳·洛龙·太康东路,洛阳·洛龙·太康东路,洛阳,洛龙,太康东路,20-99人,电子商务,未知
业务运营.csv,东营蓝飙网络科技有限公司,淘宝闪购零售业务经理,7000-10000元,7000.0,10000.0,8500.0,渠道销售、地推销售、网络销售,渠道销售,经验不限,大专,东营·广饶县·乐安街道,东营·广饶县·乐安街道,东营,广饶县,乐安街道,其它,100-299人,食品/饮料
业务运营.csv,秦皇岛市基纳贸易有限公司,运营主管，业务，招商,3000-4000元,3000.0,4000.0,3500.0,商场运营，招商,商场运营，招商,1-3年,学历不限,秦皇岛·海港区·建设大街街道,秦皇岛·海港区·建设大街街道,秦皇岛,海港区,建设大街街道,20人以下,零售/批发,未知
业务运营.csv,北京首创城市发展集团有限公司,运营分析岗（自营业务）,1.5-2万,15000.0,20000.0,17500.0,数据运营、运营分析,数据运营,3-5年,本科,北京·朝阳·东直门,北京·朝阳·东直门,北京,朝阳,东直门,国企,1000-9999人,房地产开发
业务运营.csv,七颜互娱(河南)文化传媒有限公司,运营专员 业务管理岗,6000-11000元,6000.0,11000.0,8500.0,未知,未知,经验不限,大专,郑州·金水·丰产路,郑州·金水·丰产路,郑州,金水,丰产路,民营,500-999人,新媒体
业务运营.csv,圆通速递有限公司,圆通速递新锐生,6000-8000元,6000.0,8000.0,7000.0,未知,未知,经验不限,本科,长春·二道·英俊,长春·二道·英俊,长春,二道,英俊,上市公司,10000人以上,邮政/快递
业务运营.csv,上海维音信息技术股份有限公司佛山分公司,英文行政班-国际站业务运营,7000-10000元,7000.0,10000.0,8500.0,阿里巴巴国际站、英语,阿里巴巴国际站,经验不限,本科,佛山·禅城·南庄,佛山·禅城·南庄,佛山,禅城,南庄,外商独资,1000-9999人,运营商/增值服务
业务运营.csv,北京水滴科技集团有限公司,策略运营-线下业务(A114384),1.4-1.6万·16薪,18666.67,21333.33,20000.0,销售策略、商家策略、数据分析,销售策略,1-3年,本科,北京·朝阳·东湖,北京·朝阳·东湖,北京,朝阳,东湖,上市公司,1000-9999人,互联网
业务运营.csv,中华棉花集团有限公司,业务运营岗 (北京中棉通泰经贸有限公司),8000-10000元,8000.0,10000.0,9000.0,英语,英语,经验不限,本科,北京·西城·广安门内,北京·西城·广安门内,北京,西城,广安门内,国企,500-999人,农/林/牧/渔
业务运营.csv,北京宏天信业信息技术股份有限公司,驻场--业务运营分析,1.1-1.2万,11000.0,12000.0,11500.0,销售数据运营,销售数据运营,3-5年,大专,北京·东城·永定门外,北京·东城·永定门外,北京,东城,永定门外,股份制企业,100-299人,计算机软件
业务运营.csv,天美新天地,营运主管（业务方向）,8000-12000元·14薪,9333.33,14000.0,11666.67,销售运营、运营部门管理,销售运营,3-5年,本科,太原·小店·平阳路,太原·小店·平阳路,太原,小店,平阳路,民营,1000-9999人,零售/批发
业务运营.csv,新网银行,存款业务运营经理,1-1.5万,10000.0,15000.0,12500.0,社交平台、用户增长、平台策略,社交平台,3-5年,本科,成都·武侯·桂溪,成都·武侯·桂溪,成都,武侯,桂溪,民营,500-999人,银行
