数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
产品经理.csv,北京康派特医疗器械有限公司,产品经理,1.5-2.5万·13薪,16250.0,27083.33,21666.67,未知,未知,3-5年,本科,北京·大兴·荣华街道,北京·大兴·荣华街道,北京,大兴,荣华街道,民营,100-299人,医疗设备/器械
产品经理.csv,济南作为科技有限公司,产品经理,1-1.5万,10000.0,15000.0,12500.0,软件产品,软件产品,3-5年,本科,贵阳·南明,贵阳·南明,贵阳,南明,未知,民营,100-299人,计算机软件
产品经理.csv,京北方,产品经理,1-2万,10000.0,20000.0,15000.0,银行业、JAVA开发,银行业,3-5年,本科,北京·通州·中仓,北京·通州·中仓,北京,通州,中仓,民营,10000人以上,IT服务
产品经理.csv,四川省图尔树企业服务有限公司,产品经理,9000-10000元,9000.0,10000.0,9500.0,未知,未知,3-5年,本科,成都·龙泉驿·十陵,成都·龙泉驿·十陵,成都,龙泉驿,十陵,20-99人,工业自动化,未知
产品经理.csv,安徽辉采科技有限公司,产品经理,1.2-2万,12000.0,20000.0,16000.0,软件产品、数据产品、城市生命线,软件产品,3-5年,本科,合肥·蜀山,合肥·蜀山,合肥,蜀山,未知,民营,300-499人,电子/半导体/集成电路
产品经理.csv,洛阳视距智能科技有限公司,产品经理,4000-8000元,4000.0,8000.0,6000.0,产品设计、产品规划,产品设计,1-3年,大专,洛阳·涧西·瀛洲,洛阳·涧西·瀛洲,洛阳,涧西,瀛洲,民营,20-99人,电气机械/电力设备
产品经理.csv,沈阳新天地超市连锁企业经营管理有限公司,产品经理,1-1.5万,10000.0,15000.0,12500.0,支付类产品,支付类产品,3-5年,本科,沈阳·大东·大北,沈阳·大东·大北,沈阳,大东,大北,民营,1000-9999人,零售/批发
产品经理.csv,郑州迪维勒普科技有限公司,产品经理,1.2-1.6万,12000.0,16000.0,14000.0,B端产品、通信行业、功能产品、需求产品、PC端产品、后台产品、需求分析、产品设计,B端产品,5-10年,本科,郑州·中原·梧桐,郑州·中原·梧桐,郑州,中原,梧桐,股份制企业,100-299人,IT服务
产品经理.csv,抚州比克电池有限公司,产品经理,1-1.3万,10000.0,13000.0,11500.0,硬件产品,硬件产品,1-3年,本科,深圳·龙岗·葵涌,深圳·龙岗·葵涌,深圳,龙岗,葵涌,民营,300-499人,新能源
产品经理.csv,广州点阵科技有限公司,产品经理,1.2-2.2万,12000.0,22000.0,17000.0,B端产品、设备临床、公立医院,B端产品,3-5年,大专,广州·海珠·南洲,广州·海珠·南洲,广州,海珠,南洲,民营,20-99人,医疗设备/器械
产品经理.csv,葵花药业,产品经理,1.1-1.5万,11000.0,15000.0,13000.0,增长产品、策略产品,增长产品,1-3年,大专,哈尔滨·道里·新发镇,哈尔滨·道里·新发镇,哈尔滨,道里,新发镇,民营,1000-9999人,医药制造
产品经理.csv,南京乐韬生物科技有限公司,产品经理,1.2-1.8万,12000.0,18000.0,15000.0,未知,未知,3-5年,本科,南京·栖霞·仙林,南京·栖霞·仙林,南京,栖霞,仙林,民营,100-299人,生物工程
产品经理.csv,神思电子,产品经理,面议,未知,未知,未知,软件产品、数据产品、策略产品、大数据产品、数据中台产品,软件产品,3-5年,本科,济南·历下·舜华路,济南·历下·舜华路,济南,历下,舜华路,国企,500-999人,人工智能
产品经理.csv,南京迈特望科技股份有限公司,产品经理,1.5-2.5万,15000.0,25000.0,20000.0,软件产品、C端、B端、智慧政务、AI产品、运营商,软件产品,3-5年,本科,南京·秦淮·朝天宫,南京·秦淮·朝天宫,南京,秦淮,朝天宫,股份制企业,1000-9999人,计算机软件
