数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
公关.csv,烟台信界智基科技有限公司,公共关系经理,6000-10000元,6000.0,10000.0,8000.0,乙方公司、政府公关、商务公关、活动公关,乙方公司,5-10年,本科,烟台·莱山·初家,烟台·莱山·初家,烟台,莱山,初家,100-299人,建材,未知
公关.csv,熙华源健康生物科技（广州）有限公司,药食同源功能性食品公关经理,3-6万,30000.0,60000.0,45000.0,乙方公司、商务公关,乙方公司,3-5年,本科,贵阳·云岩,贵阳·云岩,贵阳,云岩,未知,民营,20-99人,文化艺术/娱乐
公关.csv,友扬企业形象策划(上海)有限公司,财经公关项目经理,9000-15000元,9000.0,15000.0,12000.0,危机公关、品牌公关、媒体公关、文案撰写能力强,危机公关,3-5年,本科,北京·西城·广安门外,北京·西城·广安门外,北京,西城,广安门外,合资,20-99人,咨询服务
公关.csv,北京橘井药业集团有限公司,公共事务部经理（医药集团公司）,1.5-2万,15000.0,20000.0,17500.0,未知,未知,3-5年,本科,北京·丰台·马家堡,北京·丰台·马家堡,北京,丰台,马家堡,民营,500-999人,医药制造
公关.csv,联合星海企业管理有限公司,省内地级市 外联公关（兼职）,6000-8000元·13薪,6500.0,8666.67,7583.33,政府拓展、政企合作、外联,政府拓展,1-3年,大专,商丘·梁园区·前进街道,商丘·梁园区·前进街道,商丘,梁园区,前进街道,民营,300-499人,咨询服务
公关.csv,龙环汇丰信息咨询(北京)有限公司,品牌公关,1-1.5万,10000.0,15000.0,12500.0,未知,未知,3-5年,本科,北京·朝阳·建外,北京·朝阳·建外,北京,朝阳,建外,民营,1000-9999人,汽车金融
公关.csv,深圳天利德商贸有限公司,总经理助理/公关助理,9000-10000元,9000.0,10000.0,9500.0,商务管理、市场管理,商务管理,1-3年,本科,深圳·福田·福保,深圳·福田·福保,深圳,福田,福保,民营,20-99人,装饰装修
公关.csv,陕西主角之豪情娱乐文化有限公司,自媒体商务公关,1.2-2.4万·18薪,18000.0,36000.0,27000.0,媒体公关、营销公关营销直播能力,媒体公关,经验不限,学历不限,汉中·七里街道,汉中·七里街道,汉中,七里街道,未知,100-299人,文化艺术/娱乐,未知
公关.csv,乖宝宠物食品集团股份有限公司,媒体专员,9000-12000元,9000.0,12000.0,10500.0,媒体公关,媒体公关,1-3年,本科,北京·通州·新华,北京·通州·新华,北京,通州,新华,股份制企业,1000-9999人,快速消费品
公关.csv,甘肃融汇医疗科技有限责任公司,商务公关经理,6000-8000元,6000.0,8000.0,7000.0,政府公关,政府公关,经验不限,大专,兰州·七里河区·秀川街道,兰州·七里河区·秀川街道,兰州,七里河区,秀川街道,民营,20人以下,医疗设备/器械
