数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
广告.csv,杭州必立其信息技术有限公司,FB广告投放,1.1-2.2万,11000.0,22000.0,16500.0,未知,未知,经验不限,本科,杭州·西湖·蒋村,杭州·西湖·蒋村,杭州,西湖,蒋村,合资,100-299人,电子商务
广告.csv,引力传媒股份有限公司,AE广告客户执行,5000-10000元·13薪,5416.67,10833.33,8125.0,AE、新媒体广告、社交营销、KOC、KOL,AE,1年以下,本科,长沙·芙蓉·五里牌,长沙·芙蓉·五里牌,长沙,芙蓉,五里牌,上市公司,500-999人,广告/营销
广告.csv,西安丹骏数字科技有限公司,广告投放（信息流）,6000-10000元,6000.0,10000.0,8000.0,跨境电商、FACEBOOK投放、TIKTOK投放、国内信息流投放、谷歌投放、电商全类产品投放,跨境电商,1年以下,大专,西安·雁塔·丈八沟,西安·雁塔·丈八沟,西安,雁塔,丈八沟,上市公司,100-299人,电子商务
广告.csv,软通动力信息技术(集团)股份有限公司,广告产品运营-双休五险一金-百度外包,8000-9000元,8000.0,9000.0,8500.0,头条系、1,头条系,1-3年,大专,北京·海淀·马连洼,北京·海淀·马连洼,北京,海淀,马连洼,上市公司,10000人以上,互联网
广告.csv,河南广新广告有限公司,广告销售,9000-15000元,9000.0,15000.0,12000.0,互联网广告、电梯广告、户外媒体广告,互联网广告,经验不限,大专,郑州·管城·西大街,郑州·管城·西大街,郑州,管城,西大街,民营,100-299人,广告/营销
广告.csv,上海喜盈门建材有限公司,信息流广告优化师,8000-15000元·14薪,9333.33,17500.0,13416.67,小红书、快手、抖音,小红书,1-3年,大专,上海·徐汇·徐家汇,上海·徐汇·徐家汇,上海,徐汇,徐家汇,民营,1000-9999人,房地产开发
广告.csv,通广传媒(烟台)有限公司,广告销售经理,8000-12000元,8000.0,12000.0,10000.0,户外媒体广告、地铁广告、KA大客户、企业客户、政府客户、面销/陌拜、会议/会展销售,户外媒体广告,经验不限,大专,烟台·莱山·初家,烟台·莱山·初家,烟台,莱山,初家,股份制企业,300-499人,广告/营销
广告.csv,非羽网络,阿里广告优化师（单双休+住宿）,6000-10000元,6000.0,10000.0,8000.0,阿里系、淘宝、百度系,阿里系,经验不限,本科,合肥·蜀山·新产业园,合肥·蜀山·新产业园,合肥,蜀山,新产业园,股份制企业,500-999人,互联网
广告.csv,吉林省瑞雅科技有限公司,互联网广告销售,8000-10000元,8000.0,10000.0,9000.0,互联网广告、新媒体广告、KA大客户、企业客户、电话销售、面销/陌拜、网络销售,互联网广告,经验不限,大专,长春·南关·临河,长春·南关·临河,长春,南关,临河,民营,500-999人,互联网
广告.csv,郑州翎驰科技有限公司,TikTok投手 / 广告投放专员,8000-15000元,8000.0,15000.0,11500.0,媒介主管/经理、网络媒体、网盟渠道,媒介主管/经理,经验不限,大专,郑州·中原·中原西路,郑州·中原·中原西路,郑州,中原,中原西路,民营,500-999人,互联网
广告.csv,杭州和牛道餐饮管理有限公司富春路分公司,企划专员（广告设计）10点上班,9000-12000元,9000.0,12000.0,10500.0,视觉设计、印刷广告设计,视觉设计,1-3年,本科,杭州·拱墅·湖墅,杭州·拱墅·湖墅,杭州,拱墅,湖墅,民营,500-999人,餐饮服务
广告.csv,路铁传媒,广告客户执行,7000-12000元,7000.0,12000.0,9500.0,高铁站广告、机场广告、KA大客户、政府客户、企业客户、面销/陌拜,高铁站广告,经验不限,大专,合肥·包河·常青,合肥·包河·常青,合肥,包河,常青,民营,500-999人,广播/影视
广告.csv,南京苏宁工程咨询有限公司,投手/广告优化师,1-1.5万·13薪,10833.33,16250.0,13541.67,网络媒体、网盟渠道,网络媒体,1-3年,本科,南京·鼓楼·华侨路,南京·鼓楼·华侨路,南京,鼓楼,华侨路,民营,500-999人,房地产开发
广告.csv,武汉市锋拓电子商务有限公司,独立站广告投手（Google / Facebook / TikTok）,8000-15000元,8000.0,15000.0,11500.0,媒介主管/经理、媒介专员、投流、FB、谷歌,媒介主管/经理,1-3年,大专,武汉·武昌,武汉·武昌,武汉,武昌,未知,民营,20人以下,互联网
广告.csv,连云港飞扬网络科技有限公司,游戏广告投放专员,1-2万,10000.0,20000.0,15000.0,媒介专员、娱乐类媒体、乙方经验、甲方经验,媒介专员,1-3年,本科,杭州·上城·九堡,杭州·上城·九堡,杭州,上城,九堡,民营,100-299人,游戏
广告.csv,郑州科达机械仪器设备有限公司,Facebook广告投放,8000-12000元,8000.0,12000.0,10000.0,媒介投放,媒介投放,1-3年,大专,郑州·中原·梧桐,郑州·中原·梧桐,郑州,中原,梧桐,民营,100-299人,贸易/进出口
广告.csv,沈阳市蓝桥科技有限公司,信息流广告优化师,9000-13000元,9000.0,13000.0,11000.0,腾讯系、广点通、信息流广告运营,腾讯系,经验不限,学历不限,沈阳·浑南·五三,沈阳·浑南·五三,沈阳,浑南,五三,股份制企业,100-299人,IT服务
广告.csv,外企德科,广告投放/腾讯，巨量，百度账户策略管理-互联网大厂,8000-9000元,8000.0,9000.0,8500.0,未知,未知,1-3年,本科,杭州·西湖·翠苑,杭州·西湖·翠苑,杭州,西湖,翠苑,合资,10000人以上,人力资源服务
广告.csv,星辰领域文化传媒吉林有限公司,坐班央视卫视广告BD,8000-16000元,8000.0,16000.0,12000.0,户外媒体广告、新媒体广告、电梯广告,户外媒体广告,经验不限,大专,长春·二道·东方广场,长春·二道·东方广场,长春,二道,东方广场,民营,100-299人,广告/营销
广告.csv,广西七驰传媒有限公司,广告投手,4000-8000元,4000.0,8000.0,6000.0,媒介专员、KOL、乙方经验、娱乐类媒体,媒介专员,1-3年,大专,南宁·青秀·南湖,南宁·青秀·南湖,南宁,青秀,南湖,100-299人,广告/营销,未知
广告.csv,舜风传媒集团股份有限公司,广告客户执行AE,4000-8000元,4000.0,8000.0,6000.0,新媒体广告、网络广告,新媒体广告,经验不限,本科,济南·槐荫,济南·槐荫,济南,槐荫,未知,民营,500-999人,广告/营销
广告.csv,广州天擎天拓信息技术有限公司,广告销售代表（小红书）,8000-12000元,8000.0,12000.0,10000.0,新媒体广告、互联网广告、搜索引擎广告、面销/陌拜、电话销售、会议/会展销售,新媒体广告,经验不限,大专,武汉·洪山·关山,武汉·洪山·关山,武汉,洪山,关山,民营,300-499人,互联网
广告.csv,引力传媒股份有限公司,淘宝联投广告执行,5000-8000元,5000.0,8000.0,6500.0,网络媒体、乙方经验,网络媒体,经验不限,本科,济南·历城·港沟,济南·历城·港沟,济南,历城,港沟,上市公司,500-999人,广告/营销
广告.csv,吉客印(郑州)数字科技有限公司,广告投手/广告优化师【上市公司入职五险一金】,8000-12000元,8000.0,12000.0,10000.0,媒介专员、千川消耗、投流投放,媒介专员,1-3年,大专,郑州·中原·石佛,郑州·中原·石佛,郑州,中原,石佛,上市公司,1000-9999人,互联网
广告.csv,河南宝露盈进出口贸易有限公司,facebook广告投放,5000-10000元,5000.0,10000.0,7500.0,媒介专员,媒介专员,1-3年,大专,郑州·金水·文化路,郑州·金水·文化路,郑州,金水,文化路,民营,100-299人,纺织业/服饰产品加工制造
广告.csv,福州市虎聚网络科技有限公司,Tiktok广告商务,1-1.5万,10000.0,15000.0,12500.0,互联网广告、出海业务客户、企业客户、代理商销售、渠道销售、TIKTOK、广告代理,互联网广告,经验不限,大专,福州·闽侯·上街,福州·闽侯·上街,福州,闽侯,上街,民营,100-299人,互联网
广告.csv,西安丹骏数字科技有限公司,facebook广告投放,6000-12000元,6000.0,12000.0,9000.0,信息流推广、网站推广、FACEBOOK、谷歌，TT投放、信息流、广告投放、海外平台,信息流推广,1-3年,大专,西安·雁塔·丈八沟,西安·雁塔·丈八沟,西安,雁塔,丈八沟,上市公司,100-299人,电子商务
广告.csv,许昌赛诺贸易有限公司,Facebook广告投放（假发品类方向),8000-15000元,8000.0,15000.0,11500.0,facebook、广告投放、广告优化、数据分析、假发类目、ROI优化、跨境电商,facebook,1-3年,大专,许昌·魏都区·半截河街道,许昌·魏都区·半截河街道,许昌,魏都区,半截河街道,民营,20-99人,互联网
广告.csv,北京五八信息技术有限公司,广告销售(J28640),8000-15000元·13薪,8666.67,16250.0,12458.33,互联网广告、KA大客户、企业客户,互联网广告,经验不限,大专,嘉兴·南湖区·东栅街道,嘉兴·南湖区·东栅街道,嘉兴,南湖区,东栅街道,合资,10000人以上,互联网
广告.csv,江西省宏彩互动网络科技有限公司,广告媒介专员,5000-10000元,5000.0,10000.0,7500.0,4A公司经验、KOL/MCN资源、新媒体平台资源,4A公司经验,经验不限,大专,南昌·青山湖,南昌·青山湖,南昌,青山湖,未知,民营,100-299人,互联网
广告.csv,珍爱网,广告投放优化师,1.5-2.5万,15000.0,25000.0,20000.0,抖音、今日头条、小红书、微信公众号、腾讯新闻、腾讯系、知乎、快手、微信朋友圈、头条系,抖音,1-3年,大专,深圳·南山·桃源,深圳·南山·桃源,深圳,南山,桃源,合资,1000-9999人,互联网
广告.csv,四川三友集团股份有限公司,广告销售,9000-10000元,9000.0,10000.0,9500.0,电梯广告、户外媒体广告、地铁广告,电梯广告,经验不限,高中,成都·金牛·抚琴,成都·金牛·抚琴,成都,金牛,抚琴,股份制企业,1000-9999人,医院
广告.csv,路铁传媒,广告客户执行,1.3-2.5万,13000.0,25000.0,19000.0,户外媒体广告、KA大客户、面销/陌拜,户外媒体广告,经验不限,大专,南京·建邺·沙洲,南京·建邺·沙洲,南京,建邺,沙洲,民营,500-999人,广播/影视
广告.csv,百度(中国)有限公司广州分公司,百度直招 | 广告增值优化师,8000-13000元,8000.0,13000.0,10500.0,搜索引擎广告、企业客户、网络销售、销售、运营、toB,搜索引擎广告,经验不限,大专,上海·嘉定·徐行,上海·嘉定·徐行,上海,嘉定,徐行,上市公司,10000人以上,IT服务
广告.csv,新疆金艺梵文化传媒有限公司,广告文案策划,5000-8000元,5000.0,8000.0,6500.0,印刷广告、户外广告、新媒体广告,印刷广告,经验不限,大专,乌鲁木齐·水磨沟区·七道湾街道,乌鲁木齐·水磨沟区·七道湾街道,乌鲁木齐,水磨沟区,七道湾街道,其它,20-99人,广播/影视
广告.csv,合肥焱擎科技有限公司,广告销售,1-1.5万,10000.0,15000.0,12500.0,未知,未知,1-3年,学历不限,合肥·莲花社区,合肥·莲花社区,合肥,莲花社区,未知,20人以下,互联网,未知
广告.csv,字节跳动,技术产品实习生（数据方向）-中国交易与广告,6000-10000元,6000.0,10000.0,8000.0,未知,未知,经验不限,本科,北京,北京,北京,未知,未知,民营,10000人以上,互联网
广告.csv,中职北方智扬,海外广告投放优化师,1-1.5万,10000.0,15000.0,12500.0,未知,未知,经验不限,大专,北京·大兴·瀛海,北京·大兴·瀛海,北京,大兴,瀛海,合资,1000-9999人,学校/学历教育
广告.csv,天津市君易成劳务服务有限公司,SEM广告优化师8小时双休五险一金,7000-8000元·13薪,7583.33,8666.67,8125.0,信息流推广、搜索引擎推广,信息流推广,经验不限,大专,天津·滨海新区·杭州道,天津·滨海新区·杭州道,天津,滨海新区,杭州道,民营,500-999人,人力资源服务
广告.csv,星辰领域文化传媒吉林有限公司,【五号发工资】央视卫视广告销售,7000-14000元,7000.0,14000.0,10500.0,互联网广告、户外媒体广告、新媒体广告,互联网广告,经验不限,大专,长春·二道·东方广场,长春·二道·东方广场,长春,二道,东方广场,民营,100-299人,广告/营销
广告.csv,广西七驰传媒有限公司,facebook广告投放,4000-8000元,4000.0,8000.0,6000.0,FB、TK,FB,1-3年,本科,南宁·青秀·南湖,南宁·青秀·南湖,南宁,青秀,南湖,100-299人,广告/营销,未知
广告.csv,山东出众广告传媒有限公司,广告传媒,1-1.8万,10000.0,18000.0,14000.0,传统广告、户外广告、电梯广告、个人客户（2C）、企业客户（2B）、大客户（KA）、政府客户、外企客户,传统广告,经验不限,学历不限,济南·历下·千佛山,济南·历下·千佛山,济南,历下,千佛山,民营,20-99人,广告/营销
广告.csv,非羽网络,阿里巴巴广告优化师＋提供住宿,9000-15000元,9000.0,15000.0,12000.0,阿里系,阿里系,经验不限,大专,合肥·蜀山·新产业园,合肥·蜀山·新产业园,合肥,蜀山,新产业园,股份制企业,500-999人,互联网
广告.csv,河南孚兑国际贸易有限责任公司,facebook广告投放,6000-12000元,6000.0,12000.0,9000.0,汽车类媒体,汽车类媒体,1-3年,大专,郑州·中原·石佛,郑州·中原·石佛,郑州,中原,石佛,股份制企业,100-299人,贸易/进出口
广告.csv,郑州心动文化传媒有限公司,短剧广告投放专员（接受小白）,6000-10000元,6000.0,10000.0,8000.0,媒介助理、媒介专员,媒介助理,经验不限,大专,郑州·中原·石佛,郑州·中原·石佛,郑州,中原,石佛,民营,1000-9999人,互联网
广告.csv,青岛东升广告有限公司,广告媒体大客户经理,1-1.5万,10000.0,15000.0,12500.0,电话销售、面销/陌拜、渠道销售、KA大客户、电梯广告、户外媒体广告、地铁广告,电话销售,经验不限,学历不限,青岛·崂山·中韩,青岛·崂山·中韩,青岛,崂山,中韩,民营,20-99人,广告/营销
广告.csv,郑州亿度建材有限公司,8-12K信息流广告优化师+单双+社保长期稳定,8000-15000元,8000.0,15000.0,11500.0,百度系、头条系,百度系,1-3年,大专,郑州·二七区·淮河路,郑州·二七区·淮河路,郑州,二七区,淮河路,民营,20-99人,建材
广告.csv,吉林省瑞雅科技有限公司,小红书、快手、视频号广告销售,8000-15000元,8000.0,15000.0,11500.0,新媒体广告、中小客户、电话销售,新媒体广告,经验不限,学历不限,长春·南关·临河,长春·南关·临河,长春,南关,临河,民营,500-999人,互联网
广告.csv,河南亿驱动力科技有限公司,广告投放优化师,9000-12000元,9000.0,12000.0,10500.0,SEO、市场、文案、信息流推广、搜索引擎推广、关键词推广,SEO,1-3年,本科,郑州·金水·未来路,郑州·金水·未来路,郑州,金水,未来路,其它,20-99人,互联网
广告.csv,合肥通鼎文化传媒有限公司,广告销售,8000-15000元,8000.0,15000.0,11500.0,户外媒体广告、企业客户,户外媒体广告,1-3年,大专,合肥·庐阳,合肥·庐阳,合肥,庐阳,未知,民营,20-99人,广告/营销
广告.csv,智联招聘,广告文案策划,8000-16000元·17薪,11333.33,22666.67,17000.0,4A广告公司、文案策划、品牌策划,4A广告公司,1-3年,本科,合肥·包河·包公,合肥·包河·包公,合肥,包河,包公,其它,300-499人,互联网
广告.csv,广州天擎天拓信息技术有限公司,电话销售（小红书广告）,8000-12000元,8000.0,12000.0,10000.0,互联网广告、新媒体广告、搜索引擎广告,互联网广告,经验不限,大专,武汉·洪山·关山,武汉·洪山·关山,武汉,洪山,关山,民营,300-499人,互联网
广告.csv,南京我乐家居,广告模特演员,8000-12000元,8000.0,12000.0,10000.0,演员、平面模特、广告模特、电商模特、TVC拍摄、品牌主持、广告拍摄,演员,经验不限,本科,南京·江宁·秣陵,南京·江宁·秣陵,南京,江宁,秣陵,合资,1000-9999人,耐用消费品
广告.csv,外企德科,效果广告投放优化岗（CID & 闭环广告方向）,8000-10000元·14薪,9333.33,11666.67,10500.0,广点通、CID信息流优化师、CID,广点通,1-3年,本科,杭州·西湖·转塘,杭州·西湖·转塘,杭州,西湖,转塘,合资,10000人以上,人力资源服务
广告.csv,上海谦派文化传媒有限公司,抖音短剧广告演员【接受小白/免费培训】,1.1-2.2万,11000.0,22000.0,16500.0,演员、影视演员、广告演员、抖音短剧、商业广告植入,演员,经验不限,大专,上海·嘉定·嘉定镇,上海·嘉定·嘉定镇,上海,嘉定,嘉定镇,民营,1000-9999人,文化艺术/娱乐
