数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
线下运营.csv,江西省贰拾肆驿信息科技有限公司,共享公寓民宿合伙人（滴滴型共享模式 ）,1-2万,10000.0,20000.0,15000.0,民宿开发、民宿管家、民宿销售、线上运营、线下运营、业务员、业务总监、业务主管,民宿开发,经验不限,学历不限,吉安·青原区·河东街道,吉安·青原区·河东街道,吉安,青原区,河东街道,20人以下,酒店/民宿,未知
线下运营.csv,中懿(厦门)文旅发展有限公司,民宿酒店拓展负责人,8000-16000元·14薪,9333.33,18666.67,14000.0,民宿资源拓展、民宿盘活、民宿渠道拓展、酒店资源、酒店拓展、线上运营、线下运营,民宿资源拓展,5-10年,本科,大理·大理市·挖色镇,大理·大理市·挖色镇,大理,大理市,挖色镇,合资,100-299人,旅游服务
线下运营.csv,中国平安人寿保险股份有限公司河北分公司2,五险 双休 高级运营专员,5000-8000元,5000.0,8000.0,6500.0,销售运营、电商运营、门店运营,销售运营,经验不限,大专,保定·易县·易州,保定·易县·易州,保定,易县,易州,上市公司,10000人以上,保险
线下运营.csv,郑州方中山食品有限公司,外卖运营主管,6000-9000元,6000.0,9000.0,7500.0,电商运营、美团、淘宝闪购、京东、外卖运营、门店运营,电商运营,1-3年,大专,郑州·金水·人民路,郑州·金水·人民路,郑州,金水,人民路,100-299人,餐饮服务,未知
线下运营.csv,内蒙古知行远信息技术有限公司,运营实习生（带薪培训+包住）,5000-9000元,5000.0,9000.0,7000.0,学习力、上进心、团队合作,学习力,经验不限,大专,呼和浩特·回民区·中山西路,呼和浩特·回民区·中山西路,呼和浩特,回民区,中山西路,民营,20-99人,互联网
线下运营.csv,北京康悦到家健康管理有限公司,市场运营,8000-12000元,8000.0,12000.0,10000.0,渠道运营、新媒体运营、线下运营,渠道运营,经验不限,学历不限,北京·朝阳·建外,北京·朝阳·建外,北京,朝阳,建外,20-99人,美发/美容/保健,未知
线下运营.csv,北京粉笔蓝天科技有限公司,市场综合运营,8000-12000元,8000.0,12000.0,10000.0,选址开发、门店运营,选址开发,经验不限,大专,北京·朝阳·酒仙桥,北京·朝阳·酒仙桥,北京,朝阳,酒仙桥,民营,1000-9999人,互联网
线下运营.csv,拼多多,线下拓展运营,6000-12000元,6000.0,12000.0,9000.0,未知,未知,经验不限,学历不限,仙桃市·沙嘴街道,仙桃市·沙嘴街道,仙桃市,沙嘴街道,未知,民营,1000-9999人,互联网
线下运营.csv,广州凡拓数字创意科技股份有限公司,票务运营销售（研学、旅行社）,8000-12000元,8000.0,12000.0,10000.0,渠道销售、研学销售、旅行社销售、toB、toG、旅行社、研学机构,渠道销售,经验不限,大专,广州·天河·长兴,广州·天河·长兴,广州,天河,长兴,上市公司,1000-9999人,广播/影视
线下运营.csv,河北天业创展房地产集团有限公司,民宿部主管,6000-8000元,6000.0,8000.0,7000.0,客户服务管理、预算管理、市场分析、民宿管家、线下运营,客户服务管理,3-5年,大专,保定·徐水·瀑河,保定·徐水·瀑河,保定,徐水,瀑河,民营,100-299人,房地产开发
