数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
调研分析.csv,杭州之江有机硅化工有限公司,战略市场调研与分析,8000-15000元,8000.0,15000.0,11500.0,市场研究、用户调研、行业研究、企业调研、市场信息收集、竞品分析、全职、用户分析,市场研究,经验不限,本科,杭州·萧山·蜀山,杭州·萧山·蜀山,杭州,萧山,蜀山,民营,1000-9999人,化学原料/化学制品
调研分析.csv,青眼网络科技(武汉)有限公司,行业研究分析师,7000-12000元,7000.0,12000.0,9500.0,未知,未知,1-3年,本科,武汉·武昌,武汉·武昌,武汉,武昌,未知,股份制企业,20-99人,广播/影视
调研分析.csv,成都市郫都区卓翼教育培训学校有限公司,斜杠者访谈调研兼职,100元/次,未知,未知,未知,用户调研、兼职,用户调研,经验不限,学历不限,成都·郫都·红光,成都·郫都·红光,成都,郫都,红光,20人以下,学校/学历教育,未知
调研分析.csv,安徽人本文化科技有限公司,实地调研员（兼职）,3000-6000元,3000.0,6000.0,4500.0,实地调研出差文明城市实地督导,实地调研 出差,经验不限,大专,芜湖·弋江区·芜湖高新技术产业开发区,芜湖·弋江区·芜湖高新技术产业开发区,芜湖,弋江区,芜湖高新技术产业开发区,民营,100-299人,计算机软件
调研分析.csv,成都华侨城欢乐谷旅游公司,市场分析,5000-7000元·14薪,5833.33,8166.67,7000.0,用户调研、行业调研、商业调研,用户调研,1-3年,本科,成都·金牛·西华,成都·金牛·西华,成都,金牛,西华,国企,1000-9999人,旅游服务
调研分析.csv,青岛安永信息技术有限公司,产品需求分析师,6000-12000元,6000.0,12000.0,9000.0,软件实施、需求确认、需求管理、需求说明、软件需求分析、需求调研、系统分析、报表需求分析,软件实施,经验不限,本科,青岛·城阳·上马,青岛·城阳·上马,青岛,城阳,上马,民营,20-99人,计算机软件
调研分析.csv,华润雪花,销售代表（宿州）,8000-9000元·13薪,8666.67,9750.0,9208.33,销售管理、市场调研、快消品、客户开发、市场营销,销售管理,经验不限,本科,宿州·砀山县·砀城镇,宿州·砀山县·砀城镇,宿州,砀山县,砀城镇,国企,10000人以上,快速消费品
调研分析.csv,河北远大中正生物科技有限公司,市场调研专员,5000-10000元,5000.0,10000.0,7500.0,用户调研、企业调研、产品调研,用户调研,经验不限,本科,石家庄·新乐·邯邰,石家庄·新乐·邯邰,石家庄,新乐,邯邰,民营,1000-9999人,石油/石化
调研分析.csv,旺旺集团,市场数据通报/分析,6000-10000元·13薪,6500.0,10833.33,8666.67,未知,未知,1-3年,本科,上海·闵行·虹桥,上海·闵行·虹桥,上海,闵行,虹桥,上市公司,10000人以上,快速消费品
调研分析.csv,山西联知信息科技有限公司,调研分析师,5000-6000元,5000.0,6000.0,5500.0,行业调研,行业调研,1-3年,本科,太原·小店·平阳路,太原·小店·平阳路,太原,小店,平阳路,股份制企业,20-99人,互联网
调研分析.csv,云湖晟辉企业管理咨询(河北)有限公司,金融行研分析师 (MJ000022),6000-7000元·14薪,7000.0,8166.67,7583.33,咨询公司/智库,咨询公司/智库,经验不限,本科,石家庄·裕华·裕东,石家庄·裕华·裕东,石家庄,裕华,裕东,民营,20-99人,咨询服务
调研分析.csv,卓望信息技术(北京)有限公司,产品岗 (MJ000715),1.5-2.5万·14薪,17500.0,29166.67,23333.33,SQL、数据产品、商业产品、市场调研、产品规划、数据分析、产品设计、需求分析、产品/版本迭代、用户增长、使用场景分析,SQL,经验不限,本科,广州·天河·猎德,广州·天河·猎德,广州,天河,猎德,外商独资,1000-9999人,互联网
调研分析.csv,重庆康洲大数据(集团)有限公司,市场研究员,8000-16000元,8000.0,16000.0,12000.0,药学、定量研究、市场研究、定性研究、咨询经理/主管、office、SPSS、PS,药学,经验不限,本科,重庆·南岸·长生桥,重庆·南岸·长生桥,重庆,南岸,长生桥,民营,100-299人,医药制造
调研分析.csv,大岳咨询有限责任公司,分析师（南京）,8000-15000元,8000.0,15000.0,11500.0,咨询公司/智库、投资分析、行业研究、财务测算、报告编写,咨询公司/智库,经验不限,本科,南京·雨花台·雨花,南京·雨花台·雨花,南京,雨花台,雨花,民营,500-999人,咨询服务
调研分析.csv,SELLECK上海赛徕克生物科技有限公司,市场研究员/市场专员/市场营销,1-2万,10000.0,20000.0,15000.0,市场调研、商业调研、行业调研、定性研究、定量研究、问卷调研、可用性分析,市场调研,经验不限,本科,上海·浦东·康桥,上海·浦东·康桥,上海,浦东,康桥,合资,300-499人,生物工程
